targetX,targetY,targetSize,distance,directionX,directionY
229.0,191.0,20,823.384478843268,-741,-359
1342.0,145.0,42,1103.4731532756018,1102,-57
663.0,378.0,16,709.9802814163221,-666,246
1077.0,79.0,6,511.8564251819059,419,-294
172.0,716.0,8,1106.947153210125,-906,636
203.5,1014.5,11,298.51130631853795,30,297
435.0,52.0,32,997.7825414387646,221,-973
1169.0,656.0,72,922.4163918751661,714,584
1243.5,917.5,71,272.5233934912744,75,262
841.0,392.0,56,651.4207549656367,-395,-518
1523.5,710.5,39,764.4671346761743,691,327
1226.0,102.0,22,665.9737232053529,-289,-600
1907.0,349.0,58,701.4342449581429,663,229
381.5,199.5,57,1532.2617269905295,-1525,-149
402.0,851.0,32,664.8195243823695,33,664
