targetX,targetY,targetSize,distance,directionX,directionY
1344.0,59.0,20,1334.8996216944554,1334,49
1699.5,310.5,25,431.983795992396,353,249
1661.5,181.5,35,140.73023839957068,-43,-134
527.5,365.5,61,1159.6766790791303,-1147,171
413.5,783.5,7,453.4247456855437,-87,445
799.0,371.0,64,567.3887556164644,357,-441
471.0,648.0,66,429.4380048388824,-329,276
1199.5,696.5,29,749.9986666654814,747,67
565.5,590.5,61,661.3501341951932,-650,-122
457.5,837.5,27,279.24362123421906,-91,264
503.0,534.0,16,302.33259830855155,51,-298
303.0,1042.0,34,541.0009242136283,-209,499
257.0,1008.0,16,44.654227123532216,-37,-25
912.5,943.5,29,652.8721161146339,649,-71
1110.5,189.5,19,776.0219069072729,203,-749
462.0,848.0,60,924.4484842326261,-669,638
1529.0,528.0,32,1123.4754113909214,1081,-306
837.0,85.0,48,832.7070313141351,-700,-451
76.0,828.0,20,1063.5121061840339,-747,757
1192.0,903.0,46,1104.7411461514412,1103,62
212.5,655.5,55,1015.7558761828552,-984,-252
1050.5,754.5,69,836.0771495502074,831,92
1466.0,146.0,2,729.5382101028019,449,-575
857.0,1053.0,12,1091.146186356347,-614,902
303.0,770.0,14,623.4428602526458,-555,-284
951.5,39.5,31,977.609840376006,640,-739
