targetX,targetY,targetSize,distance,directionX,directionY
635.0,597.0,20,857.4345456068352,625,587
1621.5,889.5,53,1008.5018591951132,970,276
816.0,671.0,44,829.0940839253408,-801,-214
755.5,884.5,59,216.9331694324314,-68,206
433.0,775.0,46,332.3627536292236,-316,-103
553.0,916.0,20,203.48218595248088,133,154
250.0,869.0,62,331.058907144937,-324,-68
825.0,344.0,46,779.2162729306929,583,-517
1294.5,576.5,43,525.9248995816798,471,234
1423.5,598.5,9,151.11915828246265,146,39
1905.5,153.5,13,655.9031940766869,480,-447
305.5,1061.5,7,1838.567377062913,-1597,911
722.0,449.0,62,748.9465935565767,389,-640
1798.5,711.5,27,1129.263476784758,1094,280
464.0,216.0,36,1429.3078744623217,-1339,-500
1832.5,288.5,23,1377.2675847488752,1375,79
