targetX,targetY,targetSize,distance,directionX,directionY
1082.0,627.0,20,135.9154148726332,112,77
312.5,528.5,11,770.7535274002968,-765,-94
1904.5,969.5,11,1651.9518758123677,1592,441
1429.5,520.5,75,698.8633628972118,-507,-481
1155.5,637.5,43,290.26367323521555,-258,133
1225.5,992.5,59,352.4953900407777,62,347
1580.5,645.5,55,496.4614788681998,357,-345
1230.5,309.5,41,475.27886550950274,-343,-329
1420.5,671.5,33,414.2366473406234,194,366
1100.0,225.0,48,560.0892785976179,-328,-454
969.5,662.5,45,457.5609249050885,-129,439
1844.0,486.0,52,889.4048571938429,871,-180
1658.5,699.5,75,282.1577572919093,-197,202
743.5,864.5,51,920.183677316654,-903,177
