targetX,targetY,targetSize,distance,directionX,directionY
710.0,806.0,20,364.87806182339875,-260,256
882.0,234.0,14,595.3032840493995,175,-569
1357.5,406.5,15,505.1821453693707,475,172
1809.5,1068.5,9,805.7605103254937,455,665
1279.0,203.0,24,1025.4623347544268,-538,-873
774.5,602.5,59,646.8446490464306,-522,382
1515.5,218.5,65,833.3144664530912,738,-387
865.0,258.0,30,635.5611693613763,-633,57
1363.0,329.0,28,504.1676308530725,499,72
995.0,688.0,20,514.0671162406715,-364,363
1780.0,1083.0,60,851.9683092697755,765,375
493.5,733.5,75,1342.3431007011584,-1294,-357
1185.0,174.0,66,890.1915524200396,696,-555
152.0,690.0,66,1154.705590183056,-1033,516
985.5,495.5,51,861.5393200545172,841,-187
810.5,201.5,55,344.8840384825021,-177,-296
1649.5,74.5,7,869.1248471882507,863,-103
699.5,392.5,31,1009.4949232165559,-962,306
159.0,664.0,12,600.7678420155327,-531,281
342.0,265.0,28,443.02821580572044,175,-407
1621.0,618.0,40,1319.4460959053993,1273,347
782.0,82.0,6,972.1342499881382,-822,-519
1861.0,256.0,20,1084.929951655866,1072,167
1587.5,993.5,41,780.5030429152727,-284,727
1331.0,204.0,42,830.7520689110561,-257,-790
1799.5,383.5,53,494.6160126805439,463,174
937.0,442.0,24,851.136299308166,-848,73
1002.0,204.0,28,248.13101378102658,63,-240
1333.5,1033.5,17,900.4410030646095,337,835
