targetX,targetY,targetSize,distance,directionX,directionY
1519.0,741.0,20,581.2761822060147,549,191
546.5,973.5,9,995.8579215932361,-967,238
727.0,1046.0,36,177.11578134090706,167,59
1791.5,104.5,61,1420.1478796238086,1052,-954
1186.5,659.5,51,820.7313811473276,-600,560
507.5,260.5,33,775.2418977325723,-670,-390
1887.0,345.0,46,1375.2138015595974,1373,78
925.5,810.5,27,1063.9215196620473,-952,475
1070.0,776.0,14,153.57408635573907,151,-28
340.0,717.0,70,762.9764085474727,-758,-87
1660.0,120.0,66,1449.727215720254,1322,-595
780.5,297.5,5,874.1081168825742,-849,208
271.5,848.5,29,749.6412475311107,-521,539
183.5,213.5,31,642.1970102702129,-89,-636
251.5,526.5,7,334.7013594235912,80,325
1083.0,453.0,58,812.0572639906621,806,-99
