targetX,targetY,targetSize,distance,directionX,directionY
660.0,83.0,20,560.5256461572477,-310,-467
1693.5,237.5,25,1042.1444237724443,1031,152
1242.5,978.5,53,862.9913093421045,-465,727
749.0,926.0,42,490.2580952926734,-488,-47
501.0,480.0,70,529.3807703345485,-262,-460
1030.0,645.0,68,555.3881525563901,530,166
949.5,685.5,45,86.40023148117139,-69,52
1139.5,173.5,23,539.8166355346971,201,-501
575.5,194.5,5,555.8102194094671,-555,30
487.0,581.0,36,385.3011808961919,-104,371
1670.5,238.5,69,1220.970925124755,1167,-359
672.0,734.0,32,1106.6146574124166,-980,514
537.0,581.0,22,196.98730923589977,-130,-148
