targetX,targetY,targetSize,distance,directionX,directionY
1902.0,648.0,20,937.138196852524,932,98
1805.5,735.5,53,133.4541119636259,-113,71
564.0,568.0,50,1251.0619489058085,-1240,-166
1762.5,858.5,59,1227.7752237278614,1194,286
969.0,571.0,26,822.9033965174771,-777,-271
1080.5,678.5,71,123.0690862889621,89,85
1146.5,708.5,35,96.74709297958259,84,48
683.5,574.5,67,501.93724707377515,-479,-150
1321.5,940.5,67,735.5270219373317,638,366
131.0,203.0,16,1365.3457437587008,-1165,-712
522.5,460.5,57,440.23857168585306,371,237
