targetX,targetY,targetSize,distance,directionX,directionY
273.0,589.0,20,698.0902520448197,-697,39
518.5,345.5,73,347.65068675324085,219,-270
768.0,854.0,46,584.5109066561547,263,522
1422.5,464.5,29,764.6764021466859,663,-381
283.5,624.5,47,1157.8881638569417,-1148,151
1167.5,372.5,21,928.2941344207665,897,-239
779.0,802.0,10,579.5808830525727,-383,435
678.5,411.5,17,407.4947852427071,-104,-394
822.0,149.0,40,304.138126514911,132,-274
677.0,615.0,6,499.67289300101123,-128,483
1550.5,330.5,59,902.2915271684645,847,-311
230.0,682.0,30,1356.3155974919703,-1306,366
382.0,586.0,4,184.69975636150687,165,-83
725.0,123.0,22,578.22141087995,334,-472
371.0,843.0,58,794.4734105053485,-372,702
