targetX,targetY,targetSize,distance,directionX,directionY
495.0,357.0,20,512.7123950130326,-475,-193
772.5,1003.5,39,691.0810372163311,268,637
399.5,111.5,67,985.1928745174723,-387,-906
731.0,436.0,40,482.9792956224935,345,338
1456.0,143.0,52,778.6924938639129,719,-299
285.0,95.0,2,1146.2307795553215,-1146,-23
873.5,949.5,23,1022.9467239304303,578,844
1542.5,496.5,17,808.7545981322146,672,-450
491.0,1032.0,8,1178.0530548324214,-1047,540
663.0,599.0,74,486.2890087180667,139,-466
333.5,409.5,41,357.62829865658,-313,-173
146.0,891.0,4,527.7887835109799,-169,500
248.0,840.0,42,108.57716150277645,83,-70
1757.5,482.5,57,1545.7131040396857,1502,-365
829.0,284.0,28,932.3368489982577,-914,-184
