targetX,targetY,targetSize,initMouseX,initMouseY,targetID,pdx,pdy,btn
1461,158,20,960,600,1,856,740,-4
1461,158,20,960,600,1,-625,-362,-2
1461,158,20,960,600,1,728,-489,-1
1461,158,20,960,600,1,-125,-45,0
1461,158,20,960,600,1,-62,-8,0
1461,158,20,960,600,1,39,136,0
1461,158,20,960,600,1,46,-120,0
1461,158,20,960,600,1,-134,-48,0
1461,158,20,960,600,1,116,21,0
1461,158,20,960,600,1,3,11,0
1461,158,20,960,600,1,-22,19,0
1461,158,20,960,600,1,-4,-1,0
1461,158,20,960,600,1,-44,-1,0
1461,158,20,960,600,1,53,24,0
1461,158,20,960,600,1,-36,-11,0
1461,158,20,960,600,1,-5,-21,0
1461,158,20,960,600,1,37,23,0
1461,158,20,960,600,1,-42,-15,0
1461,158,20,960,600,1,18,5,0
1461,158,20,960,600,1,27,10,0
1461,158,20,960,600,1,-44,-15,0
1461,158,20,960,600,1,36,12,0
1461,158,20,960,600,1,-9,3,0
1461,158,20,960,600,1,-29,-10,0
1461,158,20,960,600,1,35,8,0
1461,158,20,960,600,1,-19,-5,0
1461,158,20,960,600,1,-17,-1,0
1461,158,20,960,600,1,25,7,0
1461,158,20,960,600,1,-22,-7,0
1461,158,20,960,600,1,8,1,0
1461,158,20,960,600,1,16,6,0
1461,158,20,960,600,1,-19,-6,0
1461,158,20,960,600,1,11,4,0
1461,158,20,960,600,1,10,3,0
1461,158,20,960,600,1,-13,-4,0
1461,158,20,960,600,1,5,2,0
1461,158,20,960,600,1,5,2,0
1461,158,20,960,600,1,-5,-1,0
1461,158,20,960,600,1,2,0,0
1461,158,20,960,600,1,2,0,0
1461,158,20,960,600,1,-1,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
1461,158,20,960,600,1,0,0,0
