targetX,targetY,targetSize,initMouseX,initMouseY,targetID,pdx,pdy,btn
,,20,960,600,,0,2,0
,,20,960,600,,0,4,0
,,20,960,600,,0,6,0
,,20,960,600,,0,8,0
,,20,960,600,,0,10,0
,,20,960,600,,0,12,0
,,20,960,600,,0,13,0
,,20,960,600,,-1,14,0
,,20,960,600,,-1,15,0
,,20,960,600,,-2,16,0
,,20,960,600,,-2,16,0
,,20,960,600,,-3,16,0
,,20,960,600,,-3,16,0
,,20,960,600,,-3,16,0
,,20,960,600,,-3,16,0
,,20,960,600,,-3,16,0
,,20,960,600,,-3,15,0
,,20,960,600,,-3,15,0
,,20,960,600,,-3,14,0
,,20,960,600,,-3,13,0
,,20,960,600,,-3,12,0
,,20,960,600,,-3,11,0
,,20,960,600,,-3,10,0
,,20,960,600,,-3,9,0
,,20,960,600,,-3,8,0
,,20,960,600,,-3,7,0
,,20,960,600,,-3,6,0
,,20,960,600,,-3,5,0
,,20,960,600,,-3,4,0
,,20,960,600,,-3,3,0
,,20,960,600,,-3,2,0
,,20,960,600,,-3,1,0
,,20,960,600,,-3,1,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
,,20,960,600,,-3,0,0
