targetX,targetY,targetSize,initMouseX,initMouseY,targetID,pdx,pdy,btn
790,970,20,960,600,1,-22,233,-2
790,970,20,960,600,1,-67,-149,-1
790,970,20,960,600,1,109,52,-1
790,970,20,960,600,1,-76,36,-1
790,970,20,960,600,1,-31,-19,0
790,970,20,960,600,1,88,-6,-1
790,970,20,960,600,1,-86,-34,0
790,970,20,960,600,1,9,98,-1
790,970,20,960,600,1,84,-95,0
790,970,20,960,600,1,-91,-44,0
790,970,20,960,600,1,17,185,-1
790,970,20,960,600,1,70,-95,0
790,970,20,960,600,1,-129,-63,0
790,970,20,960,600,1,23,186,-1
790,970,20,960,600,1,178,-122,0
790,970,20,960,600,1,-204,-99,0
790,970,20,960,600,1,27,293,-2
790,970,20,960,600,1,185,-79,-1
790,970,20,960,600,1,-273,-133,0
790,970,20,960,600,1,65,255,-2
790,970,20,960,600,1,246,-98,-1
790,970,20,960,600,1,-302,-147,-1
790,970,20,960,600,1,31,333,-2
790,970,20,960,600,1,289,-86,-2
790,970,20,960,600,1,-352,-171,-1
790,970,20,960,600,1,33,352,-3
790,970,20,960,600,1,353,-97,-2
790,970,20,960,600,1,-386,-188,-1
790,970,20,960,600,1,36,390,-3
790,970,20,960,600,1,350,-75,-2
790,970,20,960,600,1,-417,-203,-1
790,970,20,960,600,1,53,370,-3
790,970,20,960,600,1,382,-90,-2
790,970,20,960,600,1,-428,-208,-1
790,970,20,960,600,1,38,413,-3
790,970,20,960,600,1,394,-81,-2
790,970,20,960,600,1,-451,-219,-1
790,970,20,960,600,1,40,416,-3
790,970,20,960,600,1,430,-90,-3
790,970,20,960,600,1,-465,-226,-1
790,970,20,960,600,1,41,438,-3
790,970,20,960,600,1,420,-76,-3
790,970,20,960,600,1,-479,-233,-1
790,970,20,960,600,1,50,422,-3
790,970,20,960,600,1,441,-87,-3
790,970,20,960,600,1,-483,-235,-1
790,970,20,960,600,1,42,449,-3
790,970,20,960,600,1,439,-78,-3
790,970,20,960,600,1,-494,-240,-1
790,970,20,960,600,1,45,441,-3
790,970,20,960,600,1,460,-87,-3
790,970,20,960,600,1,-498,-242,-1
790,970,20,960,600,1,43,459,-3
790,970,20,960,600,1,450,-76,-3
790,970,20,960,600,1,-506,-246,-1
790,970,20,960,600,1,50,443,-3
