dx,dy,rx,ry,button,time
-1,1,-0.9300000071525574,0.9300000071525574,0,0.12335991859436035
-1,2,-1.0449999570846558,2.0899999141693115,0,0.1316230297088623
-2,2,-2.0899999141693115,2.0899999141693115,0,0.14367008209228516
-2,4,-2.450000047683716,4.900000095367432,0,0.15174388885498047
-3,3,-3.6750000715255737,3.6750000715255737,0,0.15846490859985352
-3,4,-4.055999994277954,5.4079999923706055,0,0.16330289840698242
-2,4,-2.450000047683716,4.900000095367432,0,0.17408299446105957
-2,4,-2.450000047683716,4.900000095367432,0,0.1800069808959961
-2,4,-2.450000047683716,4.900000095367432,0,0.18743109703063965
-2,5,-2.7039999961853027,6.759999990463257,0,0.19527888298034668
-2,4,-2.450000047683716,4.900000095367432,0,0.20339703559875488
-2,4,-2.450000047683716,4.900000095367432,0,0.21142792701721191
-1,4,-1.225000023841858,4.900000095367432,0,0.21946310997009277
-2,2,-2.0899999141693115,2.0899999141693115,0,0.22752904891967773
-3,3,-3.6750000715255737,3.6750000715255737,0,0.23540496826171875
-2,3,-2.3333332538604736,3.4999998807907104,0,0.2432999610900879
-3,2,-3.4999998807907104,2.3333332538604736,0,0.25490498542785645
-2,3,-2.3333332538604736,3.4999998807907104,0,0.26083803176879883
0,2,-0.0,2.0899999141693115,0,0.26737499237060547
-1,2,-1.0449999570846558,2.0899999141693115,0,0.2758519649505615
0,1,-0.0,0.9300000071525574,0,0.28345489501953125
0,1,-0.0,0.9300000071525574,0,0.2913229465484619
-1,-1,-0.9300000071525574,-0.9300000071525574,0,0.36335110664367676
-4,-4,-5.4079999923706055,-5.4079999923706055,0,0.3712959289550781
-5,-4,-7.408333420753479,-5.926666736602783,0,0.3815469741821289
-7,-4,-11.49750030040741,-6.570000171661377,0,0.3893718719482422
-10,-6,-17.76363730430603,-10.658182382583618,0,0.39531707763671875
-16,-9,-39.68888854980469,-22.324999809265137,0,0.40336108207702637
-17,-8,-42.16944408416748,-19.844444274902344,0,0.411236047744751
-17,-8,-42.16944408416748,-19.844444274902344,0,0.41951799392700195
-18,-9,-48.10500240325928,-24.05250120162964,0,0.4298839569091797
-19,-9,-52.340476751327515,-24.79285740852356,0,0.43902587890625
-17,-7,-42.16944408416748,-17.36388874053955,0,0.4457089900970459
-15,-6,-33.60000014305115,-13.440000057220459,0,0.4542698860168457
-14,-5,-27.030001163482666,-9.653571844100952,0,0.4608139991760254
-11,-5,-19.85499942302704,-9.024999737739563,0,0.4674088954925537
-9,-4,-15.279999732971191,-6.791110992431641,0,0.47815489768981934
-4,-3,-5.4079999923706055,-4.055999994277954,0,0.4863169193267822
-2,-2,-2.0899999141693115,-2.0899999141693115,0,0.4940218925476074
0,-1,-0.0,-0.9300000071525574,0,0.5016579627990723
0,-1,-0.0,-0.9300000071525574,0,0.5233070850372314
1,-1,0.9300000071525574,-0.9300000071525574,0,0.5393218994140625
1,0,0.9300000071525574,-0.0,0,0.547529935836792
1,0,0.9300000071525574,-0.0,0,0.5553140640258789
2,-1,2.0899999141693115,-1.0449999570846558,0,0.5675671100616455
3,0,3.4999998807907104,-0.0,0,0.5744080543518066
3,-1,3.4999998807907104,-1.1666666269302368,0,0.5810909271240234
4,0,4.900000095367432,-0.0,0,0.5875270366668701
4,-1,4.900000095367432,-1.225000023841858,0,0.5952889919281006
4,-1,4.900000095367432,-1.225000023841858,0,0.6034131050109863
5,-1,6.759999990463257,-1.3519999980926514,0,0.6112639904022217
4,-1,4.900000095367432,-1.225000023841858,0,0.6192619800567627
3,-1,3.4999998807907104,-1.1666666269302368,0,0.6445670127868652
1,-1,0.9300000071525574,-0.9300000071525574,0,0.6518149375915527
2,-2,2.0899999141693115,-2.0899999141693115,0,0.6590468883514404
3,-1,3.4999998807907104,-1.1666666269302368,0,0.6660408973693848
2,-1,2.0899999141693115,-1.0449999570846558,0,0.6734559535980225
2,0,2.0899999141693115,-0.0,0,0.6801800727844238
3,-1,3.4999998807907104,-1.1666666269302368,0,0.6886889934539795
4,0,4.900000095367432,-0.0,0,0.6951899528503418
4,0,4.900000095367432,-0.0,0,0.7043290138244629
5,0,6.759999990463257,-0.0,0,0.7105259895324707
4,2,4.900000095367432,2.450000047683716,0,0.711021900177002
6,1,8.890000104904175,1.4816666841506958,0,0.7153429985046387
5,1,6.759999990463257,1.3519999980926514,0,0.7232720851898193
5,2,6.759999990463257,2.7039999961853027,0,0.7314779758453369
6,1,8.890000104904175,1.4816666841506958,0,0.739285945892334
8,2,13.140000343322754,3.2850000858306885,0,0.7473330497741699
8,1,13.140000343322754,1.6425000429153442,0,0.7552809715270996
8,2,13.140000343322754,3.2850000858306885,0,0.763314962387085
6,1,8.890000104904175,1.4816666841506958,0,0.7717249393463135
4,0,4.900000095367432,-0.0,0,0.7812149524688721
4,1,4.900000095367432,1.225000023841858,0,0.787276029586792
3,1,3.4999998807907104,1.1666666269302368,0,0.7956340312957764
3,0,3.4999998807907104,-0.0,0,0.8035080432891846
3,1,3.4999998807907104,1.1666666269302368,0,0.8151199817657471
2,1,2.0899999141693115,1.0449999570846558,0,0.8222339153289795
2,1,2.0899999141693115,1.0449999570846558,0,0.8274269104003906
2,0,2.0899999141693115,-0.0,0,0.8354499340057373
1,1,0.9300000071525574,0.9300000071525574,0,0.8448970317840576
2,0,2.0899999141693115,-0.0,0,0.8517069816589355
2,1,2.0899999141693115,1.0449999570846558,0,0.8594470024108887
1,0,0.9300000071525574,-0.0,0,0.8674840927124023
2,1,2.0899999141693115,1.0449999570846558,0,0.8756370544433594
1,1,0.9300000071525574,0.9300000071525574,0,0.8835868835449219
1,0,0.9300000071525574,-0.0,0,0.8915269374847412
0,1,-0.0,0.9300000071525574,0,0.955380916595459
-1,0,-0.9300000071525574,-0.0,0,0.9634840488433838
-1,0,-0.9300000071525574,-0.0,0,0.9715819358825684
-1,0,-0.9300000071525574,-0.0,0,0.9836540222167969
-1,0,-0.9300000071525574,-0.0,0,0.9905428886413574
-1,0,-0.9300000071525574,-0.0,0,1.0036358833312988
-1,0,-0.9300000071525574,-0.0,0,1.0121159553527832
0,1,-0.0,0.9300000071525574,0,1.0193979740142822
-1,0,-0.9300000071525574,-0.0,0,1.0276238918304443
0,1,-0.0,0.9300000071525574,0,1.035672903060913
0,1,-0.0,0.9300000071525574,0,1.043597936630249
0,1,-0.0,0.9300000071525574,0,1.0513889789581299
0,1,-0.0,0.9300000071525574,0,1.0593540668487549
0,1,-0.0,0.9300000071525574,0,1.0836138725280762
,,,,,
0,0,-0.0,-0.0,1,-0.002901792526245117
0,0,-0.0,-0.0,0,0.1000971794128418
0,2,-0.0,2.0899999141693115,0,0.16600728034973145
-1,2,-1.0449999570846558,2.0899999141693115,0,0.17384815216064453
-1,2,-1.0449999570846558,2.0899999141693115,0,0.1818552017211914
-1,1,-0.9300000071525574,0.9300000071525574,0,0.1900801658630371
-1,2,-1.0449999570846558,2.0899999141693115,0,0.19801115989685059
-1,2,-1.0449999570846558,2.0899999141693115,0,0.20579218864440918
-1,3,-1.1666666269302368,3.4999998807907104,0,0.21387124061584473
-1,3,-1.1666666269302368,3.4999998807907104,0,0.22188735008239746
-1,4,-1.225000023841858,4.900000095367432,0,0.23010730743408203
-1,5,-1.3519999980926514,6.759999990463257,0,0.23803329467773438
0,5,-0.0,6.759999990463257,0,0.24813532829284668
0,4,-0.0,4.900000095367432,0,0.253892183303833
0,4,-0.0,4.900000095367432,0,0.26189231872558594
0,3,-0.0,3.4999998807907104,0,0.27007222175598145
1,3,1.1666666269302368,3.4999998807907104,0,0.2781071662902832
1,3,1.1666666269302368,3.4999998807907104,0,0.2857801914215088
2,2,2.0899999141693115,2.0899999141693115,0,0.29409313201904297
2,3,2.3333332538604736,3.4999998807907104,0,0.30222535133361816
3,2,3.4999998807907104,2.3333332538604736,0,0.3101191520690918
1,3,1.1666666269302368,3.4999998807907104,0,0.3183321952819824
2,2,2.0899999141693115,2.0899999141693115,0,0.326127290725708
4,4,5.4079999923706055,5.4079999923706055,0,0.3342273235321045
5,3,6.759999990463257,4.055999994277954,0,0.3420372009277344
6,5,9.445714473724365,7.871428728103638,0,0.3498382568359375
8,5,13.582221984863281,8.48888874053955,0,0.3577911853790283
8,6,13.927999496459961,10.44599962234497,0,0.3658151626586914
9,6,15.668999433517456,10.44599962234497,0,0.37380027770996094
8,6,13.927999496459961,10.44599962234497,0,0.382399320602417
10,7,18.049999475479126,12.634999632835388,0,0.3898642063140869
9,7,15.987273573875427,12.434546113014221,0,0.3979642391204834
9,7,15.987273573875427,12.434546113014221,0,0.40596532821655273
9,7,15.987273573875427,12.434546113014221,0,0.414013147354126
8,7,13.927999496459961,12.186999559402466,0,0.42203330993652344
8,6,13.927999496459961,10.44599962234497,0,0.43003320693969727
8,7,13.927999496459961,12.186999559402466,0,0.437974214553833
7,6,11.884444236755371,10.186666488647461,0,0.44579124450683594
8,6,13.927999496459961,10.44599962234497,0,0.45409727096557617
7,5,11.49750030040741,8.212500214576721,0,0.46196413040161133
6,4,9.445714473724365,6.29714298248291,0,0.4699273109436035
5,4,7.408333420753479,5.926666736602783,0,0.4815351963043213
4,2,4.900000095367432,2.450000047683716,0,0.48787927627563477
4,3,5.4079999923706055,4.055999994277954,0,0.4940192699432373
2,3,2.3333332538604736,3.4999998807907104,0,0.5023951530456543
3,1,3.4999998807907104,1.1666666269302368,0,0.510101318359375
2,1,2.0899999141693115,1.0449999570846558,0,0.5178053379058838
2,1,2.0899999141693115,1.0449999570846558,0,0.5262172222137451
2,0,2.0899999141693115,-0.0,0,0.5340073108673096
3,1,3.4999998807907104,1.1666666269302368,0,0.5419161319732666
2,0,2.0899999141693115,-0.0,0,0.5498073101043701
3,1,3.4999998807907104,1.1666666269302368,0,0.5581271648406982
3,1,3.4999998807907104,1.1666666269302368,0,0.5660791397094727
4,1,4.900000095367432,1.225000023841858,0,0.5737781524658203
3,2,3.4999998807907104,2.3333332538604736,0,0.5818822383880615
3,2,3.4999998807907104,2.3333332538604736,0,0.5898172855377197
3,1,3.4999998807907104,1.1666666269302368,0,0.5978152751922607
2,2,2.0899999141693115,2.0899999141693115,0,0.6058151721954346
2,1,2.0899999141693115,1.0449999570846558,0,0.6139771938323975
2,0,2.0899999141693115,-0.0,0,0.6218881607055664
2,1,2.0899999141693115,1.0449999570846558,0,0.6300392150878906
2,0,2.0899999141693115,-0.0,0,0.6379492282867432
3,1,3.4999998807907104,1.1666666269302368,0,0.6457972526550293
5,0,6.759999990463257,-0.0,0,0.6539721488952637
4,1,4.900000095367432,1.225000023841858,0,0.6625261306762695
3,0,3.4999998807907104,-0.0,0,0.67000412940979
