dx,rx
-1,-2.0
-1,-2.0
0,-0.0
0,-0.0
1,2.0
1,2.0
0,-0.0
1,2.0
1,2.0
0,-0.0
0,-0.0
2,4.0
3,6.0
4,8.0
3,6.0
3,6.0
4,8.0
6,12.0
8,16.0
8,16.0
6,12.0
6,12.0
5,10.0
5,10.0
5,10.0
4,8.0
4,8.0
4,8.0
3,6.0
3,6.0
4,8.0
3,6.0
3,6.0
2,4.0
1,2.0
2,4.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-2,-4.0
-1,-2.0
-3,-6.0
-2,-4.0
-3,-6.0
-2,-4.0
-2,-4.0
-3,-6.0
-3,-6.0
-2,-4.0
0,-0.0
0,-0.0
1,2.0
2,4.0
2,4.0
5,10.0
6,12.0
7,14.0
11,22.0
12,24.0
13,26.0
16,32.0
18,36.0
22,44.0
25,50.0
25,50.0
25,50.0
24,48.0
25,50.0
24,48.0
24,48.0
24,48.0
25,50.0
25,50.0
26,52.0
23,46.0
22,44.0
22,44.0
20,40.0
17,34.0
17,34.0
14,28.0
11,22.0
10,20.0
8,16.0
7,14.0
6,12.0
4,8.0
3,6.0
2,4.0
1,2.0
1,2.0
2,4.0
4,8.0
5,10.0
6,12.0
7,14.0
6,12.0
6,12.0
6,12.0
5,10.0
5,10.0
5,10.0
3,6.0
3,6.0
3,6.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
1,2.0
0,-0.0
0,-0.0
1,2.0
0,-0.0
1,2.0
1,2.0
1,2.0
1,2.0
1,2.0
0,-0.0
1,2.0
1,2.0
1,2.0
1,2.0
0,-0.0
1,2.0
1,2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-1,-2.0
-2,-4.0
-2,-4.0
-3,-6.0
-3,-6.0
-3,-6.0
-5,-10.0
-5,-10.0
-7,-14.0
-6,-12.0
-5,-10.0
-5,-10.0
-5,-10.0
-4,-8.0
-4,-8.0
-5,-10.0
-5,-10.0
-4,-8.0
-4,-8.0
-5,-10.0
-5,-10.0
-5,-10.0
-6,-12.0
-7,-14.0
-5,-10.0
-5,-10.0
-6,-12.0
-5,-10.0
-4,-8.0
-2,-4.0
-1,-2.0
0,-0.0
1,2.0
3,6.0
2,4.0
3,6.0
1,2.0
1,2.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
0,-0.0
-1,-2.0
-1,-2.0
-1,-2.0
-2,-4.0
-2,-4.0
-2,-4.0
-1,-2.0
0,-0.0
0,-0.0
0,-0.0
-1,-2.0
-2,-4.0
-2,-4.0
-4,-8.0
-3,-6.0
-5,-10.0
-5,-10.0
-6,-12.0
-7,-14.0
-7,-14.0
-8,-16.0
-8,-16.0
-7,-14.0
-6,-12.0
-5,-10.0
-5,-10.0
-4,-8.0
-5,-10.0
-3,-6.0
-4,-8.0
-5,-10.0
-5,-10.0
-6,-12.0
-5,-10.0
-6,-12.0
-4,-8.0
-5,-10.0
-5,-10.0
-4,-8.0
-4,-8.0
-4,-8.0
-4,-8.0
-2,-4.0
-2,-4.0
-2,-4.0
-1,-2.0
-1,-2.0
-2,-4.0
-1,-2.0
-2,-4.0
-1,-2.0
