dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.4815554618835449,762.5554996244606,-771,49,189,649,20,960,600,1
-3,0,0,-2.6199998259544373,-0.0,0.6594455242156982,760.5595369599938,-769,49,189,649,20,960,600,1
-4,3,0,-4.047999858856201,3.035999894142151,0.6674096584320068,756.3817586555672,-765,46,189,649,20,960,600,1
-5,2,0,-5.0599998235702515,2.0239999294281006,0.6753666400909424,751.2726187115887,-760,44,189,649,20,960,600,1
-6,2,0,-6.670000076293945,2.2233333587646484,0.6841185092926025,745.1688552899941,-754,42,189,649,20,960,600,1
-6,2,0,-6.670000076293945,2.2233333587646484,0.6914684772491455,739.0687551887344,-748,40,189,649,20,960,600,1
-8,3,0,-9.859999656677246,3.6974998712539673,0.6994304656982422,729.9256719427973,-739,37,189,649,20,960,600,1
-11,2,0,-14.649999141693115,2.6636362075805664,0.7078535556793213,715.8443359288547,-725,35,189,649,20,960,600,1
-14,2,0,-20.269999980926514,2.895714282989502,0.7153196334838867,695.7719178318163,-705,33,189,649,20,960,600,1
-14,1,0,-20.269999980926514,1.447857141494751,0.7235054969787598,675.7470379082946,-685,32,189,649,20,960,600,1
-15,0,0,-23.589999675750732,-0.0,0.7313206195831299,652.7729626350188,-662,32,189,649,20,960,600,1
-17,1,0,-30.180001139640808,1.7752941846847534,0.7393696308135986,622.7598280548474,-632,31,189,649,20,960,600,1
-18,0,0,-33.4900016784668,-0.0,0.747429609298706,589.801633875734,-599,31,189,649,20,960,600,1
-17,0,0,-30.180001139640808,-0.0,0.7555735111236572,559.8438382574651,-569,31,189,649,20,960,600,1
-17,0,0,-30.180001139640808,-0.0,0.7636775970458984,529.8907296851836,-539,31,189,649,20,960,600,1
-16,-1,0,-26.8799991607666,-1.6799999475479126,0.7715065479278564,503.9970817037778,-513,32,189,649,20,960,600,1
-16,-2,0,-26.8799991607666,-3.359999895095825,0.7795336246490479,478.25608035128454,-487,35,189,649,20,960,600,1
-14,-1,0,-20.269999980926514,-1.447857141494751,0.787442684173584,458.3855249684815,-467,36,189,649,20,960,600,1
-12,0,0,-16.249999523162842,-0.0,0.7955036163330078,442.4345256498447,-451,36,189,649,20,960,600,1
-12,0,0,-16.249999523162842,-0.0,0.8034505844116211,426.48711321183356,-435,36,189,649,20,960,600,1
-12,-1,0,-16.249999523162842,-1.3541666269302368,0.8114144802093506,410.63047916193614,-419,37,189,649,20,960,600,1
-13,0,0,-17.84999990463257,-0.0,0.8194215297698975,393.69914540409917,-402,37,189,649,20,960,600,1
-11,0,0,-14.649999141693115,-0.0,0.8275256156921387,379.76018267647606,-388,37,189,649,20,960,600,1
-10,0,0,-13.059999942779541,-0.0,0.8355436325073242,366.82091237085024,-375,37,189,649,20,960,600,1
-9,0,0,-11.459999799728394,-0.0,0.8436896800994873,355.8756619399547,-364,37,189,649,20,960,600,1
-9,0,0,-11.459999799728394,-0.0,0.8514695167541504,344.93379664382485,-353,37,189,649,20,960,600,1
-9,0,0,-11.459999799728394,-0.0,0.8593945503234863,333.99563950724723,-342,37,189,649,20,960,600,1
-11,1,0,-14.649999141693115,1.3318181037902832,0.8674566745758057,319.9696955782455,-328,36,189,649,20,960,600,1
