targetID,dx,dy,button,time,targetX,targetY,targetSize,distance,directionX,directionY,rx,ry
1,-3,-2,0,0.3339223861694336,640,312,20,467.60339194775406,-381,-288,-2.6199998259544373,-1.7466665506362915
1,-2,-3,0,0.34198856353759766,640,312,20,465.60067283383864,-380,-286,-1.7466665506362915,-2.6199998259544373
1,-3,-4,0,0.3497893810272217,640,312,20,460.8003823277972,-377,-282,-3.035999894142151,-4.047999858856201
1,-4,-7,0,0.3579535484313965,640,312,20,452.8228602824195,-373,-274,-4.929999828338623,-8.62749969959259
1,-7,-14,0,0.3657865524291992,640,312,20,431.0759571774458,-362,-252,-11.008666515350342,-22.017333030700684
1,-9,-15,0,0.37404441833496094,640,312,20,404.1074739726391,-347,-226,-15.97764766216278,-26.6294127702713
1,-10,-16,0,0.3818655014038086,640,312,20,373.4709897762802,-329,-197,-18.60555648803711,-29.768890380859375
1,-10,-13,0,0.39013051986694336,640,312,20,349.0891254271006,-313,-176,-16.799999475479126,-21.839999318122864
1,-9,-10,0,0.39792442321777344,640,312,20,332.3010371003862,-301,-163,-12.357692241668701,-13.730769157409668
1,-8,-9,0,0.40590953826904297,640,312,20,317.84447532328494,-291,-151,-10.833333015441895,-12.187499642372131
1,-7,-10,0,0.4138634204864502,640,312,20,303.9554108468271,-282,-138,-9.479166388511658,-13.541666269302368
1,-7,-11,0,0.42175936698913574,640,312,20,289.4294574687,-273,-123,-9.611538410186768,-15.103846073150635
1,-7,-10,0,0.4298584461212158,640,312,20,276.0,-264,-110,-9.479166388511658,-13.541666269302368
1,-8,-11,0,0.4377474784851074,640,312,20,261.1844390815963,-254,-95,-10.984615325927734,-15.103846073150635
1,-9,-11,0,0.44579434394836426,640,312,20,243.9310930154084,-241,-80,-13.030714273452759,-15.92642855644226
1,-7,-8,0,0.45389842987060547,640,312,20,232.33035303073365,-232,-70,-9.141999959945679,-10.447999954223633
1,-7,-8,0,0.4618074893951416,640,312,20,220.93072554339753,-223,-60,-9.141999959945679,-10.447999954223633
1,-7,-7,0,0.46978235244750977,640,312,20,211.19900542271884,-215,-52,-8.913333177566528,-8.913333177566528
1,-7,-8,0,0.4780104160308838,640,312,20,200.23796041628637,-206,-42,-9.141999959945679,-10.447999954223633
1,-8,-8,0,0.4857494831085205,640,312,20,188.59506539690256,-196,-32,-10.654544830322266,-10.654544830322266
1,-10,-8,0,0.49387335777282715,640,312,20,174.31766057543157,-183,-22,-13.541666269302368,-10.833333015441895
1,-10,-7,0,0.5017874240875244,640,312,20,160.49633427144408,-170,-13,-13.541666269302368,-9.479166388511658
1,-11,-5,0,0.5098865032196045,640,312,20,146.1569723067145,-156,-7,-14.895832896232605,-6.770833134651184
1,-9,-6,0,0.5179433822631836,640,312,20,135.0,-145,0,-11.753999948501587,-7.835999965667725
1,-8,-5,0,0.5262293815612793,640,312,20,125.1332675546625,-135,6,-10.186666488647461,-6.366666555404663
1,-8,-5,0,0.5337514877319336,640,312,20,115.57467897629681,-125,12,-10.186666488647461,-6.366666555404663
1,-7,-5,0,0.545264482498169,640,312,20,108.37651794169315,-117,18,-8.62749969959259,-6.162499785423279
1,-8,-5,0,0.5526413917541504,640,312,20,99.65856099730654,-107,24,-10.186666488647461,-6.366666555404663
1,-6,-6,0,0.5579245090484619,640,312,20,94.69479452198185,-100,31,-7.394999742507935,-7.394999742507935
1,-7,-4,0,0.5659525394439697,640,312,20,88.43271813782245,-92,35,-8.62749969959259,-4.929999828338623
1,-6,-5,0,0.5741593837738037,640,312,20,83.94147114027967,-85,40,-7.080000400543213,-5.900000333786011
1,-7,-6,0,0.5820715427398682,640,312,20,80.21086409075129,-77,47,-8.913333177566528,-7.639999866485596
1,-7,-4,0,0.5899603366851807,640,312,20,75.80209787645055,-69,51,-8.62749969959259,-4.929999828338623
1,-6,-4,0,0.5978524684906006,640,312,20,72.87943049997388,-62,55,-7.080000400543213,-4.720000267028809
1,-6,-3,0,0.6057815551757812,640,312,20,70.62257748298549,-56,58,-6.670000076293945,-3.3350000381469727
1,-6,-2,0,0.614093542098999,640,312,20,68.10249675906654,-50,60,-6.670000076293945,-2.2233333587646484
1,-5,-1,0,0.6217925548553467,640,312,20,65.8023746329889,-45,61,-5.0599998235702515,-1.0119999647140503
1,-5,-1,0,0.6299915313720703,640,312,20,63.78346698278686,-40,62,-5.0599998235702515,-1.0119999647140503
1,-5,-1,0,0.6378023624420166,640,312,20,62.069410986909006,-35,63,-5.0599998235702515,-1.0119999647140503
1,-5,0,0,0.6459734439849854,640,312,20,59.778220097678044,-30,63,-5.0599998235702515,-0.0
1,-5,0,0,0.6541213989257812,640,312,20,57.779052811322174,-25,63,-5.0599998235702515,-0.0
1,-3,0,0,0.6618494987487793,640,312,20,57.067130548428864,-23,63,-2.6199998259544373,-0.0
1,-4,1,0,0.6698133945465088,640,312,20,56.09841147864296,-20,63,-3.680000066757202,0.9200000166893005
1,-2,1,0,0.677910566329956,640,312,20,55.80273550544841,-19,63,-1.5800000429153442,0.7900000214576721
1,-2,1,0,0.6860964298248291,640,312,20,55.52098900352466,-18,63,-1.5800000429153442,0.7900000214576721
1,-1,2,0,0.6942183971405029,640,312,20,54.56004956627589,-18,62,-0.7900000214576721,1.5800000429153442
1,-1,2,0,0.7020623683929443,640,312,20,53.60031446463138,-18,61,-0.7900000214576721,1.5800000429153442
1,-1,2,0,0.7099545001983643,640,312,20,52.6418390534633,-18,60,-0.7900000214576721,1.5800000429153442
1,-1,3,0,0.7180135250091553,640,312,20,50.728905802755904,-18,58,-0.8733332753181458,2.6199998259544373
