dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,-0.0,-0.0,0,0.6798346042633057,772.9438038582335,-640,451,320,991,20,960,540,1
0,1,-0.0,0.6899999976158142,0,0.8289244174957275,772.9438038582335,-640,451,320,991,20,960,540,1
-2,3,-1.7466665506362915,2.6199998259544373,0,0.836761474609375,772.9438038582335,-640,451,320,991,20,960,540,1
-2,2,-1.5800000429153442,1.5800000429153442,0,0.8448545932769775,770.9750316111265,-639,449,320,991,20,960,540,1
-2,2,-1.5800000429153442,1.5800000429153442,0,0.8526105880737305,769.5819392469274,-638,448,320,991,20,960,540,1
-1,3,-0.8733332753181458,2.6199998259544373,0,0.8607854843139648,768.1889230771664,-637,447,320,991,20,960,540,1
-3,2,-2.6199998259544373,1.7466665506362915,0,0.8689625263214111,767.041826416056,-637,445,320,991,20,960,540,1
-2,4,-1.840000033378601,3.680000066757202,0,0.8765344619750977,764.8296586992524,-635,444,320,991,20,960,540,1
-4,5,-4.446666717529297,5.558333396911621,0,0.8845186233520508,762.2933380523232,-634,441,320,991,20,960,540,1
-4,4,-4.047999858856201,4.047999858856201,0,0.8925635814666748,756.156641947324,-630,436,320,991,20,960,540,1
-4,6,-4.720000267028809,7.080000400543213,0,0.9005966186523438,750.5918747922568,-626,432,320,991,20,960,540,1
-6,6,-7.394999742507935,7.394999742507935,0,0.9087624549865723,743.3319321520893,-622,425,320,991,20,960,540,1
-6,7,-7.639999866485596,8.913333177566528,0,0.9166965484619141,733.6054061126774,-615,418,320,991,20,960,540,1
-7,7,-8.913333177566528,8.913333177566528,0,0.9248175621032715,723.3239393337708,-608,410,320,991,20,960,540,1
-9,6,-11.753999948501587,7.835999965667725,0,0.9326026439666748,712.2215726492806,-600,402,320,991,20,960,540,1
-12,7,-16.4769229888916,9.611538410186768,0,0.9407405853271484,699.1868583102763,-589,395,320,991,20,960,540,1
-12,6,-16.4769229888916,8.2384614944458,0,0.9488434791564941,680.8871108943921,-573,386,320,991,20,960,540,1
-11,6,-14.895832896232605,8.124999761581421,0,0.9565644264221191,663.1515431164071,-557,378,320,991,20,960,540,1
-10,5,-13.318181037902832,6.659090518951416,0,0.9647305011749268,647.0760990935524,-543,370,320,991,20,960,540,1
-9,5,-11.753999948501587,6.5299999713897705,0,0.9726386070251465,632.9587856153768,-530,364,320,991,20,960,540,1
-9,4,-11.459999799728394,5.0933332443237305,0,0.9806504249572754,620.4958366238433,-519,358,320,991,20,960,540,1
-9,5,-11.753999948501587,6.5299999713897705,0,0.9886784553527832,608.6056902421768,-508,353,320,991,20,960,540,1
-9,5,-11.753999948501587,6.5299999713897705,0,0.9966466426849365,596.150146415886,-497,347,320,991,20,960,540,1
-9,4,-11.459999799728394,5.0933332443237305,0,1.004758596420288,583.6977345417447,-486,341,320,991,20,960,540,1
-8,4,-9.859999656677246,4.929999828338623,0,1.012542486190796,571.8255752371152,-475,336,320,991,20,960,540,1
-8,5,-10.186666488647461,6.366666555404663,0,1.0204596519470215,562.1713030203455,-466,332,320,991,20,960,540,1
-7,4,-8.62749969959259,4.929999828338623,0,1.028780460357666,550.5461622382228,-456,326,320,991,20,960,540,1
-6,5,-7.080000400543213,5.900000333786011,0,1.036550521850586,541.7136938666648,-448,322,320,991,20,960,540,1
-6,5,-7.080000400543213,5.900000333786011,0,1.0449364185333252,533.111406619305,-441,317,320,991,20,960,540,1
-7,5,-8.62749969959259,6.162499785423279,0,1.052492618560791,524.5091205957107,-434,312,320,991,20,960,540,1
-7,6,-8.913333177566528,7.639999866485596,0,1.06101655960083,514.5112010243441,-426,306,320,991,20,960,540,1
-7,5,-8.62749969959259,6.162499785423279,0,1.070758581161499,503.9309292113095,-418,299,320,991,20,960,540,1
-8,7,-10.447999954223633,9.141999959945679,0,1.0766894817352295,493.9335273624886,-410,293,320,991,20,960,540,1
-9,6,-11.753999948501587,7.835999965667725,0,1.084829568862915,480.5670188669434,-400,284,320,991,20,960,540,1
-10,7,-13.541666269302368,9.479166388511658,0,1.0925874710083008,467.5458093209488,-389,277,320,991,20,960,540,1
-10,7,-13.541666269302368,9.479166388511658,0,1.100705623626709,451.7358552246078,-376,268,320,991,20,960,540,1
-10,6,-13.318181037902832,7.990908622741699,0,1.1087944507598877,435.92600283006595,-363,259,320,991,20,960,540,1
-10,7,-13.541666269302368,9.479166388511658,0,1.1166424751281738,421.28181042098214,-350,252,320,991,20,960,540,1
-9,6,-11.753999948501587,7.835999965667725,0,1.124800443649292,405.47322416733425,-337,243,320,991,20,960,540,1
-10,7,-13.541666269302368,9.479166388511658,0,1.1326005458831787,392.45745116720104,-326,236,320,991,20,960,540,1
