dx,dy,rx,ry,button,time
1,-1,2.5,-2.5,0,0.3600451946258545
0,-1,-0.0,-2.5,0,0.3662271499633789
1,-1,2.5,-2.5,0,0.3726019859313965
0,-1,-0.0,-2.5,0,0.37337803840637207
0,-1,-0.0,-2.5,0,0.3733940124511719
1,0,2.5,-0.0,0,0.3734149932861328
0,-2,-0.0,-5.0,0,0.3742790222167969
1,0,2.5,-0.0,0,0.376331090927124
0,-1,-0.0,-2.5,0,0.38243913650512695
0,-1,-0.0,-2.5,0,0.3906271457672119
1,0,2.5,-0.0,0,0.3988790512084961
0,-1,-0.0,-2.5,0,0.40711402893066406
0,-1,-0.0,-2.5,0,0.41591715812683105
0,-1,-0.0,-2.5,0,0.42361998558044434
1,0,2.5,-0.0,0,0.43134117126464844
0,-1,-0.0,-2.5,0,0.43814706802368164
0,-1,-0.0,-2.5,0,0.44592905044555664
0,-1,-0.0,-2.5,0,0.4459400177001953
1,0,2.5,-0.0,0,0.44594812393188477
0,-1,-0.0,-2.5,0,0.45220017433166504
0,-1,-0.0,-2.5,0,0.4522120952606201
0,-1,-0.0,-2.5,0,0.45221900939941406
1,-1,2.5,-2.5,0,0.4522280693054199
0,-1,-0.0,-2.5,0,0.45279622077941895
0,-1,-0.0,-2.5,0,0.4528059959411621
1,0,2.5,-0.0,0,0.45281314849853516
0,-1,-0.0,-2.5,0,0.4528191089630127
0,-1,-0.0,-2.5,0,0.45282506942749023
1,0,2.5,-0.0,0,0.4541740417480469
0,-1,-0.0,-2.5,0,0.4598100185394287
1,0,2.5,-0.0,0,0.4599151611328125
0,-1,-0.0,-2.5,0,0.4621310234069824
1,-1,2.5,-2.5,0,0.46769213676452637
1,-1,2.5,-2.5,0,0.4718441963195801
0,-1,-0.0,-2.5,0,0.47628116607666016
1,0,2.5,-0.0,0,0.478100061416626
0,-1,-0.0,-2.5,0,0.48019909858703613
1,0,2.5,-0.0,0,0.48619699478149414
0,-1,-0.0,-2.5,0,0.4918951988220215
1,0,2.5,-0.0,0,0.4942750930786133
0,-1,-0.0,-2.5,0,0.5011000633239746
1,0,2.5,-0.0,0,0.5038959980010986
0,-1,-0.0,-2.5,0,0.5151081085205078
1,0,2.5,-0.0,0,0.5151231288909912
0,-1,-0.0,-2.5,0,0.5180470943450928
1,0,2.5,-0.0,0,0.5268101692199707
0,-1,-0.0,-2.5,0,0.5268340110778809
1,0,2.5,-0.0,0,0.5377941131591797
1,-1,2.5,-2.5,0,0.5378410816192627
1,0,2.5,-0.0,0,0.5457890033721924
0,-1,-0.0,-2.5,0,0.5458052158355713
1,0,2.5,-0.0,0,0.54581618309021
0,-1,-0.0,-2.5,0,0.5458250045776367
1,0,2.5,-0.0,0,0.5529320240020752
1,-1,2.5,-2.5,0,0.5591630935668945
1,0,2.5,-0.0,0,0.5591750144958496
0,-1,-0.0,-2.5,0,0.5591821670532227
1,0,2.5,-0.0,0,0.5591890811920166
1,0,2.5,-0.0,0,0.5599691867828369
0,-1,-0.0,-2.5,0,0.5620191097259521
1,0,2.5,-0.0,0,0.56781005859375
0,-1,-0.0,-2.5,0,0.5718710422515869
1,0,2.5,-0.0,0,0.5760560035705566
1,0,2.5,-0.0,0,0.5840921401977539
0,-1,-0.0,-2.5,0,0.5859620571136475
1,-1,2.5,-2.5,0,0.5979251861572266
1,0,2.5,-0.0,0,0.6058671474456787
0,-1,-0.0,-2.5,0,0.6117560863494873
1,0,2.5,-0.0,0,0.6120760440826416
0,-1,-0.0,-2.5,0,0.6200931072235107
1,0,2.5,-0.0,0,0.6201090812683105
0,-1,-0.0,-2.5,0,0.6268751621246338
1,0,2.5,-0.0,0,0.6268951892852783
1,0,2.5,-0.0,0,0.6274480819702148
0,-1,-0.0,-2.5,0,0.6274611949920654
1,-1,2.5,-2.5,0,0.6279439926147461
1,0,2.5,-0.0,0,0.6300060749053955
0,-1,-0.0,-2.5,0,0.6360080242156982
1,0,2.5,-0.0,0,0.6416652202606201
1,0,2.5,-0.0,0,0.6424131393432617
0,-1,-0.0,-2.5,0,0.6439170837402344
1,-1,2.5,-2.5,0,0.655925989151001
0,-1,-0.0,-2.5,0,0.7118961811065674
1,0,2.5,-0.0,0,0.7218501567840576
0,-1,-0.0,-2.5,0,0.7260580062866211
0,0,-0.0,-0.0,1,0.7671329975128174
,,,,,
4,3,10.0,7.5,0,0.31391477584838867
4,2,10.0,5.0,0,0.313922643661499
4,3,10.0,7.5,0,0.31392979621887207
4,3,10.0,7.5,0,0.3139376640319824
3,2,7.5,5.0,0,0.31394481658935547
4,4,10.0,10.0,0,0.313950777053833
4,2,10.0,5.0,0,0.31395769119262695
4,3,10.0,7.5,0,0.31396484375
4,3,10.0,7.5,0,0.31397080421447754
3,2,7.5,5.0,0,0.3139777183532715
3,2,7.5,5.0,0,0.31398463249206543
3,3,7.5,7.5,0,0.31399083137512207
2,2,5.0,5.0,0,0.313997745513916
3,3,7.5,7.5,0,0.31400465965270996
1,2,2.5,5.0,0,0.3140108585357666
2,2,5.0,5.0,0,0.3148808479309082
1,2,2.5,5.0,0,0.3168368339538574
1,2,2.5,5.0,0,0.32288074493408203
1,2,2.5,5.0,0,0.3292276859283447
1,2,2.5,5.0,0,0.3353438377380371
1,2,2.5,5.0,0,0.33586668968200684
0,2,-0.0,5.0,0,0.3358776569366455
1,1,2.5,2.5,0,0.33588576316833496
0,2,-0.0,5.0,0,0.3358926773071289
1,1,2.5,2.5,0,0.33589982986450195
0,2,-0.0,5.0,0,0.3359057903289795
1,1,2.5,2.5,0,0.3365657329559326
0,1,-0.0,2.5,0,0.3388047218322754
0,1,-0.0,2.5,0,0.3441886901855469
0,1,-0.0,2.5,0,0.3442058563232422
0,1,-0.0,2.5,0,0.3446228504180908
0,1,-0.0,2.5,0,0.34665966033935547
0,1,-0.0,2.5,0,0.35184669494628906
0,1,-0.0,2.5,0,0.35186171531677246
0,1,-0.0,2.5,0,0.3527958393096924
0,1,-0.0,2.5,0,0.3547627925872803
0,1,-0.0,2.5,0,0.360170841217041
0,1,-0.0,2.5,0,0.36621570587158203
1,1,2.5,2.5,0,0.3662288188934326
0,1,-0.0,2.5,0,0.3662376403808594
0,1,-0.0,2.5,0,0.366682767868042
0,1,-0.0,2.5,0,0.36859869956970215
0,1,-0.0,2.5,0,0.3746817111968994
0,1,-0.0,2.5,0,0.37664365768432617
0,1,-0.0,2.5,0,0.3824477195739746
1,0,2.5,-0.0,0,0.3824617862701416
0,1,-0.0,2.5,0,0.3825688362121582
0,1,-0.0,2.5,0,0.38671064376831055
0,1,-0.0,2.5,0,0.39868664741516113
0,1,-0.0,2.5,0,0.3986997604370117
0,1,-0.0,2.5,0,0.39870762825012207
0,1,-0.0,2.5,0,0.4061717987060547
0,1,-0.0,2.5,0,0.4061856269836426
0,1,-0.0,2.5,0,0.41297268867492676
0,1,-0.0,2.5,0,0.4192337989807129
0,1,-0.0,2.5,0,0.41974663734436035
0,1,-0.0,2.5,0,0.4197578430175781
0,1,-0.0,2.5,0,0.4197657108306885
0,1,-0.0,2.5,0,0.4197726249694824
0,1,-0.0,2.5,0,0.41977977752685547
0,1,-0.0,2.5,0,0.419785737991333
0,1,-0.0,2.5,0,0.42055177688598633
0,1,-0.0,2.5,0,0.4228177070617676
0,1,-0.0,2.5,0,0.42743468284606934
0,1,-0.0,2.5,0,0.4275527000427246
0,1,-0.0,2.5,0,0.42858266830444336
0,1,-0.0,2.5,0,0.43251776695251465
0,1,-0.0,2.5,0,0.4354126453399658
0,1,-0.0,2.5,0,0.43878865242004395
-1,1,-2.5,2.5,0,0.4440457820892334
0,1,-0.0,2.5,0,0.4440586566925049
0,1,-0.0,2.5,0,0.4466686248779297
0,1,-0.0,2.5,0,0.450941801071167
-1,0,-2.5,-0.0,0,0.4509568214416504
0,1,-0.0,2.5,0,0.4527168273925781
0,1,-0.0,2.5,0,0.45656681060791016
-1,0,-2.5,-0.0,0,0.46066975593566895
0,1,-0.0,2.5,0,0.46454477310180664
-1,0,-2.5,-0.0,0,0.46740078926086426
0,1,-0.0,2.5,0,0.46882081031799316
-1,1,-2.5,2.5,0,0.47805166244506836
-1,1,-2.5,2.5,0,0.48865175247192383
-1,1,-2.5,2.5,0,0.4984467029571533
0,1,-0.0,2.5,0,0.5059957504272461
-1,1,-2.5,2.5,0,0.5060098171234131
-1,0,-2.5,-0.0,0,0.5060186386108398
0,1,-0.0,2.5,0,0.5126876831054688
0,1,-0.0,2.5,0,0.5132367610931396
-1,0,-2.5,-0.0,0,0.5132486820220947
0,1,-0.0,2.5,0,0.5132577419281006
0,1,-0.0,2.5,0,0.5132646560668945
-1,0,-2.5,-0.0,0,0.5132708549499512
0,1,-0.0,2.5,0,0.5888526439666748
0,1,-0.0,2.5,0,0.5946187973022461
-1,1,-2.5,2.5,0,0.5966236591339111
0,1,-0.0,2.5,0,0.6009998321533203
0,1,-0.0,2.5,0,0.6065528392791748
-1,0,-2.5,-0.0,0,0.6086666584014893
0,1,-0.0,2.5,0,0.61454176902771
0,1,-0.0,2.5,0,0.6227786540985107
,,,,,
1,0,2.5,-0.0,0,0.7070391178131104
1,-1,2.5,-2.5,0,0.7070572376251221
1,0,2.5,-0.0,0,0.7121200561523438
0,-1,-0.0,-2.5,0,0.7218661308288574
1,0,2.5,-0.0,0,0.7218801975250244
1,0,2.5,-0.0,0,0.7224462032318115
1,-1,2.5,-2.5,0,0.7241051197052002
1,0,2.5,-0.0,0,0.7308182716369629
1,0,2.5,-0.0,0,0.7401251792907715
0,-1,-0.0,-2.5,0,0.7458481788635254
1,0,2.5,-0.0,0,0.7534880638122559
1,0,2.5,-0.0,0,0.7535061836242676
1,-1,2.5,-2.5,0,0.761317253112793
1,0,2.5,-0.0,0,0.7680211067199707
1,0,2.5,-0.0,0,0.7685160636901855
0,-1,-0.0,-2.5,0,0.7685301303863525
1,0,2.5,-0.0,0,0.7685401439666748
1,0,2.5,-0.0,0,0.7685470581054688
1,-1,2.5,-2.5,0,0.7699201107025146
1,0,2.5,-0.0,0,0.7755751609802246
1,0,2.5,-0.0,0,0.7755882740020752
0,-1,-0.0,-2.5,0,0.775968074798584
1,0,2.5,-0.0,0,0.7780051231384277
1,0,2.5,-0.0,0,0.7800052165985107
1,-1,2.5,-2.5,0,0.7857050895690918
1,0,2.5,-0.0,0,0.7916481494903564
1,0,2.5,-0.0,0,0.7916631698608398
1,-1,2.5,-2.5,0,0.7921340465545654
1,0,2.5,-0.0,0,0.7941231727600098
1,0,2.5,-0.0,0,0.7998840808868408
1,-1,2.5,-2.5,0,0.8020811080932617
1,0,2.5,-0.0,0,0.8080031871795654
1,0,2.5,-0.0,0,0.8100361824035645
0,-1,-0.0,-2.5,0,0.8164150714874268
1,0,2.5,-0.0,0,0.822857141494751
1,0,2.5,-0.0,0,0.8228762149810791
1,-1,2.5,-2.5,0,0.822904109954834
1,0,2.5,-0.0,0,0.8241112232208252
1,-1,2.5,-2.5,0,0.8280842304229736
1,0,2.5,-0.0,0,0.8321001529693604
1,0,2.5,-0.0,0,0.8359341621398926
0,-1,-0.0,-2.5,0,0.8384552001953125
1,0,2.5,-0.0,0,0.8419902324676514
1,0,2.5,-0.0,0,0.8476231098175049
0,-1,-0.0,-2.5,0,0.8551831245422363
1,0,2.5,-0.0,0,0.8551990985870361
1,0,2.5,-0.0,0,0.8626730442047119
0,-1,-0.0,-2.5,0,0.8626861572265625
