targetID,dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
1,-2,0,-1.309999942779541,-0.0,0,0.3505825996398926,531,618,20,472.1991466875984,-492,14
1,-4,-2,-3.069999933242798,-1.534999966621399,0,0.35857653617858887,531,618,20,469.23000725630067,-489,15
1,-7,-2,-6.880000174045563,-1.9657143354415894,0,0.36702466011047363,531,618,20,463.26493768946244,-483,16
1,-6,-1,-5.560000061988831,-0.9266666769981384,0,0.37470459938049316,531,618,20,458.2677074609993,-478,16
1,-5,0,-4.21999990940094,-0.0,0,0.3828907012939453,531,618,20,454.2699653151146,-474,16
1,-5,0,-4.21999990940094,-0.0,0,0.3908085823059082,531,618,20,450.2722615677008,-470,16
1,-5,1,-4.21999990940094,0.843999981880188,0,0.39882969856262207,531,618,20,446.27459720641014,-466,16
1,-5,1,-4.21999990940094,0.843999981880188,0,0.40703868865966797,531,618,20,442.2769732530488,-462,16
1,-5,2,-4.21999990940094,1.687999963760376,0,0.4147336483001709,531,618,20,438.24556735444804,-458,15
1,-5,1,-4.21999990940094,0.843999981880188,0,0.4228067398071289,531,618,20,434.2477297686803,-454,15
1,-5,2,-4.21999990940094,1.687999963760376,0,0.43076467514038086,531,618,20,430.21772510642006,-450,14
1,-17,1,-25.160000324249268,1.4800000190734863,0,0.4388556480407715,531,618,20,405.19877704433725,-425,13
1,-21,4,-36.15999984741211,6.8876190185546875,0,0.44687461853027344,531,618,20,369.0629769073382,-389,7
1,-21,1,-36.15999984741211,1.7219047546386719,0,0.4552175998687744,531,618,20,333.0509878190401,-353,6
1,-19,2,-30.649999499320984,3.22631573677063,0,0.46285271644592285,531,618,20,303.0139315880973,-323,3
1,-20,1,-33.410000801086426,1.6705000400543213,0,0.4707915782928467,531,618,20,270.0068964697219,-290,2
1,-19,1,-30.649999499320984,1.613157868385315,0,0.47879457473754883,531,618,20,240.00192306981114,-260,1
1,-20,0,-33.410000801086426,-0.0,0,0.48722052574157715,531,618,20,207.00220263248548,-227,1
1,-18,1,-27.899999141693115,1.5499999523162842,0,0.4947175979614258,531,618,20,180.0,-200,0
1,-17,0,-25.160000324249268,-0.0,0,0.5027165412902832,531,618,20,155.0,-175,0
1,-16,0,-22.399999618530273,-0.0,0,0.5106687545776367,531,618,20,133.0,-153,0
1,-13,0,-14.870000004768372,-0.0,0,0.518939733505249,531,618,20,119.0,-139,0
1,-11,0,-12.210000157356262,-0.0,0,0.5268876552581787,531,618,20,107.0,-127,0
1,-9,0,-9.549999833106995,-0.0,0,0.5348715782165527,531,618,20,98.0,-118,0
1,-5,0,-4.21999990940094,-0.0,0,0.5426936149597168,531,618,20,94.0,-114,0
1,-5,0,-4.21999990940094,-0.0,0,0.5509467124938965,531,618,20,90.0,-110,0
1,-4,0,-3.069999933242798,-0.0,0,0.5587096214294434,531,618,20,87.0,-107,0
1,-3,1,-2.180000066757202,0.7266666889190674,0,0.5667965412139893,531,618,20,85.0,-105,0
1,-5,0,-4.21999990940094,-0.0,0,0.5747356414794922,531,618,20,81.0,-101,0
1,-6,0,-5.560000061988831,-0.0,0,0.5827686786651611,531,618,20,76.0,-96,0
1,-7,1,-6.880000174045563,0.9828571677207947,0,0.5907447338104248,531,618,20,70.0,-90,0
1,-8,0,-8.220000267028809,-0.0,0,0.598658561706543,531,618,20,62.0,-82,0
1,-9,1,-9.549999833106995,1.0611110925674438,0,0.606853723526001,531,618,20,53.00684899377592,-73,-1
1,-9,0,-9.549999833106995,-0.0,0,0.6148345470428467,531,618,20,44.007812023221035,-64,-1
1,-8,0,-8.220000267028809,-0.0,0,0.6227016448974609,531,618,20,36.00892785976178,-56,-1
1,-7,0,-6.880000174045563,-0.0,0,0.6308517456054688,531,618,20,30.009999000199947,-50,-1
1,-6,0,-5.560000061988831,-0.0,0,0.6387827396392822,531,618,20,25.0111097397076,-45,-1
1,-4,0,-3.069999933242798,-0.0,0,0.6467385292053223,531,618,20,22.01190307520001,-42,-1
1,-4,0,-3.069999933242798,-0.0,0,0.6547236442565918,531,618,20,19.01281840626232,-39,-1
1,-2,0,-1.309999942779541,-0.0,0,0.6635515689849854,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.6708476543426514,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.6787147521972656,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.6871376037597656,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.7110357284545898,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.7510616779327393,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.7587287425994873,531,618,20,18.013155617496423,-38,-1
1,0,-1,-0.0,-0.5799999833106995,0,0.7667226791381836,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.7828395366668701,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.7997066974639893,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.8227615356445312,531,618,20,18.013155617496423,-38,-1
1,-1,-1,-0.5799999833106995,-0.5799999833106995,0,0.8389415740966797,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.8468077182769775,531,618,20,18.013155617496423,-38,-1
1,-1,0,-0.5799999833106995,-0.0,0,0.8550317287445068,531,618,20,18.013155617496423,-38,-1
