dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.3563847541809082,385.83456140160376,-214,333,746,933,20,960,600,1
-1,0,0,-0.6899999976158142,-0.0,0.5112686157226562,385.83456140160376,-214,333,746,933,20,960,600,1
-1,0,0,-0.6899999976158142,-0.0,0.5192766189575195,385.83456140160376,-214,333,746,933,20,960,600,1
-1,0,0,-0.6899999976158142,-0.0,0.5432946681976318,385.83456140160376,-214,333,746,933,20,960,600,1
-1,1,0,-0.6899999976158142,0.6899999976158142,0.5512735843658447,385.83456140160376,-214,333,746,933,20,960,600,1
-1,2,0,-0.7900000214576721,1.5800000429153442,0.5594565868377686,384.9936708353692,-214,332,746,933,20,960,600,1
-1,3,0,-0.8733332753181458,2.6199998259544373,0.567462682723999,383.31412382471086,-214,330,746,933,20,960,600,1
-2,4,0,-1.840000033378601,3.680000066757202,0.5755746364593506,380.2537635949204,-213,327,746,933,20,960,600,1
-3,4,0,-3.035999894142151,4.047999858856201,0.5832326412200928,375.2648439710013,-210,323,746,933,20,960,600,1
-4,7,0,-4.929999828338623,8.62749969959259,0.5913116931915283,366.3787985527346,-206,315,746,933,20,960,600,1
-5,7,0,-6.162499785423279,8.62749969959259,0.5994055271148682,356.4000545851488,-200,307,746,933,20,960,600,1
-5,7,0,-6.162499785423279,8.62749969959259,0.6073596477508545,346.42250209547655,-194,299,746,933,20,960,600,1
-5,6,0,-5.900000333786011,7.080000400543213,0.615398645401001,337.82898096622137,-189,292,746,933,20,960,600,1
-6,8,0,-7.835999965667725,10.447999954223633,0.6237137317657471,325.6307494852044,-182,282,746,933,20,960,600,1
-5,8,0,-6.366666555404663,10.186666488647461,0.6312565803527832,313.9753077010654,-176,272,746,933,20,960,600,1
-4,6,0,-4.720000267028809,7.080000400543213,0.6395125389099121,305.92562415859845,-172,265,746,933,20,960,600,1
-4,7,0,-4.929999828338623,8.62749969959259,0.6473495960235596,297.0390854598157,-168,257,746,933,20,960,600,1
-4,8,0,-4.929999828338623,9.859999656677246,0.6553606986999512,287.3213749463701,-164,248,746,933,20,960,600,1
-3,7,0,-3.5400002002716064,8.260000467300415,0.6633386611938477,279.0,-161,240,746,933,20,960,600,1
-4,7,0,-4.929999828338623,8.62749969959259,0.6714966297149658,270.1303268123607,-157,232,746,933,20,960,600,1
-4,8,0,-4.929999828338623,9.859999656677246,0.6804726123809814,260.44038160008574,-153,223,746,933,20,960,600,1
-5,8,0,-6.366666555404663,10.186666488647461,0.6875596046447754,248.80108191427638,-147,213,746,933,20,960,600,1
-6,7,0,-7.639999866485596,8.913333177566528,0.6955647468566895,238.2438317461282,-140,205,746,933,20,960,600,1
