dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,reward
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
0,0,0,0,0,0,811.0764452257259,1,-569,578,391,1178,963,600,20,0
2,0,0,3.0,-0.0,0.010506391525268555,815.2968784436747,1,-575,578,391,1178,966,600,20,182.69
1,1,0,1.5,1.5,0.018357515335083008,815.2944253458379,1,-576,577,391,1178,967,601,20,0.14
1,2,0,1.5,3.0,0.026517391204833984,813.8826696766555,1,-577,574,391,1178,968,604,20,12.19
1,1,0,1.5,1.5,0.034450531005859375,813.8875843751396,1,-578,573,391,1178,969,605,20,160.25
1,0,0,1.5,-0.0,0.04242348670959473,814.5980603954321,1,-579,573,391,1178,970,605,20,12.68
0,1,0,-0.0,1.5,0.050406455993652344,813.8949563672206,1,-579,572,391,1178,970,606,20,7.07
1,-1,0,1.5,-1.5,0.15442848205566406,816.0122548099386,1,-580,574,391,1178,971,604,20,6.36
1,-1,0,1.5,-1.5,0.1623823642730713,818.1301852394887,1,-581,576,391,1178,972,602,20,6.37
2,-2,0,3.0,-3.0,0.17037248611450195,822.372786514729,1,-584,579,391,1178,975,599,20,8.37
2,-4,0,3.0,-6.0,0.17836952209472656,828.7303542166173,1,-587,585,391,1178,978,593,20,3.63
3,-3,0,4.5,-4.5,0.1863574981689453,835.0934079490748,1,-591,590,391,1178,982,588,20,5.05
3,-6,0,4.5,-9.0,0.19452333450317383,844.2902344573222,1,-595,599,391,1178,986,579,20,3.0
3,-6,0,4.5,-9.0,0.20240545272827148,853.5016110119535,1,-599,608,391,1178,990,570,20,3.02
3,-7,0,4.5,-10.5,0.21042251586914062,864.1585502672527,1,-603,619,391,1178,994,559,20,2.65
2,-8,0,3.0,-12.0,0.21849846839904785,874.8697045846312,1,-606,631,391,1178,997,547,20,2.36
3,-8,0,4.5,-12.0,0.2265644073486328,886.3120218072189,1,-610,643,391,1178,1001,535,20,2.55
3,-9,0,4.5,-13.5,0.23441338539123535,899.2469071395242,1,-614,657,391,1178,1005,521,20,2.33
2,-8,0,3.0,-12.0,0.24247431755065918,910.082413850526,1,-617,669,391,1178,1008,509,20,2.43
1,-8,0,1.5,-12.0,0.25046539306640625,919.6113309436764,1,-618,681,391,1178,1009,497,20,2.19
1,-5,0,1.5,-7.5,0.25842952728271484,926.219196518837,1,-619,689,391,1178,1010,489,20,2.79
0,-7,0,-0.0,-10.5,0.266357421875,934.4308428128858,1,-619,700,391,1178,1010,478,20,2.23
-1,-6,0,-1.5,-9.0,0.2743563652038574,939.877651612166,1,-617,709,391,1178,1008,469,20,2.49
-2,-8,0,-3.0,-12.0,0.28237438201904297,947.0147834115368,1,-614,721,391,1178,1005,457,20,2.03
-2,-7,0,-3.0,-10.5,0.29051733016967773,953.4909543356979,1,-611,732,391,1178,1002,446,20,2.16
-2,-7,0,-3.0,-10.5,0.29848551750183105,960.058852362708,1,-608,743,391,1178,999,435,20,2.16
-3,-7,0,-4.5,-10.5,0.3065364360809326,965.4662086266924,1,-603,754,391,1178,994,424,20,2.28
-3,-6,0,-4.5,-9.0,0.3143763542175293,969.4188981033947,1,-598,763,391,1178,989,415,20,2.87
-3,-5,0,-4.5,-7.5,0.3223874568939209,972.6715786944739,1,-593,771,391,1178,984,407,20,3.35
-5,-5,0,-7.5,-7.5,0.33045244216918945,974.2001847669708,1,-585,779,391,1178,976,399,20,6.36
-5,-4,0,-7.5,-6.0,0.33860349655151367,974.2453489752979,1,-577,785,391,1178,968,393,20,103.0
-6,-4,0,-9.0,-6.0,0.34656643867492676,973.8095296309233,1,-568,791,391,1178,959,387,20,4.26
-7,-3,0,-10.5,-4.5,0.3543703556060791,971.5271483597357,1,-557,796,391,1178,948,382,20,20.24
-8,-4,0,-12.0,-6.0,0.36260247230529785,969.654062024184,1,-545,802,391,1178,936,376,20,16.88
-9,-3,0,-13.5,-4.5,0.37047648429870605,966.0279499062126,1,-531,807,391,1178,922,371,20,30.16
-10,-2,0,-15.0,-3.0,0.3785264492034912,960.3936692835912,1,-516,810,391,1178,907,368,20,43.07
-9,-2,0,-13.5,-3.0,0.3864264488220215,955.4962061672459,1,-502,813,391,1178,893,365,20,38.45
-11,-1,0,-16.5,-1.5,0.3944263458251953,948.3933782982671,1,-485,815,391,1178,876,363,20,50.95
-11,0,0,-16.5,-0.0,0.4024834632873535,939.8132793273353,1,-468,815,391,1178,859,363,20,58.12
-11,0,0,-16.5,-0.0,0.41050148010253906,931.4644383979455,1,-451,815,391,1178,842,363,20,56.7
-10,0,0,-15.0,-0.0,0.418337345123291,924.2948663711164,1,-436,815,391,1178,827,363,20,50.63
-10,2,0,-15.0,3.0,0.42646050453186035,914.6502063630664,1,-421,812,391,1178,812,366,20,62.17
-12,2,0,-18.0,3.0,0.4344923496246338,903.8196722798193,1,-403,809,391,1178,794,369,20,66.49
-10,3,0,-15.0,4.5,0.44254040718078613,893.6268796315384,1,-388,805,391,1178,779,373,20,63.64
-11,3,0,-16.5,4.5,0.45035552978515625,882.7468493288435,1,-371,801,391,1178,762,377,20,65.81
-10,5,0,-15.0,7.5,0.45842742919921875,870.1563077976278,1,-356,794,391,1178,747,384,20,71.81
-10,5,0,-15.0,7.5,0.4663355350494385,857.7004138975334,1,-341,787,391,1178,732,391,20,70.71
-10,4,0,-15.0,6.0,0.474346399307251,846.3078636052013,1,-326,781,391,1178,717,397,20,66.26
-8,5,0,-12.0,7.5,0.4823613166809082,835.2676217835814,1,-314,774,391,1178,705,404,20,64.74
-7,6,0,-10.5,9.0,0.4903404712677002,822.8207581241494,1,-303,765,391,1178,694,413,20,69.45
-5,7,0,-7.5,10.5,0.49834251403808594,810.586207630009,1,-295,755,391,1178,686,423,20,68.85
-5,7,0,-7.5,10.5,0.5065045356750488,798.369588599165,1,-287,745,391,1178,678,433,20,68.15
-4,8,0,-6.0,12.0,0.5144073963165283,785.0159234053791,1,-281,733,391,1178,672,445,20,72.61
-3,8,0,-4.5,12.0,0.5223934650421143,772.0213727611432,1,-276,721,391,1178,667,457,20,72.14
-2,10,0,-3.0,15.0,0.5304694175720215,756.9445158002005,1,-273,706,391,1178,664,472,20,75.28
0,8,0,-0.0,12.0,0.538487434387207,745.7647082022587,1,-273,694,391,1178,664,484,20,61.72
1,9,0,1.5,13.5,0.5464153289794922,734.0551750379532,1,-274,681,391,1178,665,497,20,62.6
4,8,0,6.0,12.0,0.554471492767334,725.2316871179858,1,-280,669,391,1178,671,509,20,50.93
5,8,0,7.5,12.0,0.5624854564666748,716.9504864354302,1,-287,657,391,1178,678,521,20,48.27
6,8,0,9.0,12.0,0.5705044269561768,709.6766869497687,1,-296,645,391,1178,687,533,20,43.55
8,7,0,12.0,10.5,0.5783934593200684,705.7542065053527,1,-308,635,391,1178,699,543,20,26.58
7,7,0,10.5,10.5,0.586510419845581,701.2481729031456,1,-318,625,391,1178,709,553,20,29.75
7,6,0,10.5,9.0,0.5945444107055664,697.8825116020604,1,-328,616,391,1178,719,562,20,23.23
7,6,0,10.5,9.0,0.602513313293457,694.7611100227185,1,-338,607,391,1178,729,571,20,21.7
7,4,0,10.5,6.0,0.6103873252868652,694.4818212163656,1,-348,601,391,1178,739,577,20,2.21
7,4,0,10.5,6.0,0.6184773445129395,694.398300689165,1,-358,595,391,1178,749,583,20,0.67
8,3,0,12.0,4.5,0.635251522064209,697.2668068967574,1,-370,591,391,1178,761,587,20,2.91
9,4,0,13.5,6.0,0.6390073299407959,699.2238554282884,1,-383,585,391,1178,774,593,20,4.06
9,3,0,13.5,4.5,0.642552375793457,703.1194777560924,1,-396,581,391,1178,787,597,20,2.26
