dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,reward
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,0,0,0,0,0,568.5578246757317,1,223,-523,1183,77,960,600,20,0
0,2,0,-0.0,3.0,0.16119599342346191,571.3186501419326,1,223,-526,1183,77,960,603,20,147.2
-1,4,0,-1.5,6.0,0.16911602020263672,577.6235798510999,1,225,-532,1183,77,958,609,20,5.16
0,3,0,-0.0,4.5,0.1772019863128662,581.3097281140235,1,225,-536,1183,77,958,613,20,3.88
-1,2,0,-1.5,3.0,0.1851060390472412,584.8504082241885,1,227,-539,1183,77,956,616,20,4.98
-1,2,0,-1.5,3.0,0.19318699836730957,588.3918762185624,1,229,-542,1183,77,954,619,20,4.99
0,1,0,-0.0,1.5,0.2010939121246338,589.313159534046,1,229,-543,1183,77,954,620,20,9.43
-1,2,0,-1.5,3.0,0.2090439796447754,592.8549569667103,1,231,-546,1183,77,952,623,20,5.01
-1,1,0,-1.5,1.5,0.2169959545135498,594.5569779255811,1,233,-547,1183,77,950,624,20,5.34
-1,1,0,-1.5,1.5,0.22503089904785156,596.2625260738763,1,235,-548,1183,77,948,625,20,5.34
-3,1,0,-4.5,1.5,0.23305702209472656,599.1669216503861,1,240,-549,1183,77,943,626,20,3.18
-4,1,0,-6.0,1.5,0.24125885963439941,602.5080912319768,1,246,-550,1183,77,937,627,20,2.82
-4,1,0,-6.0,1.5,0.24899792671203613,605.8919045506385,1,252,-551,1183,77,931,628,20,2.81
-8,0,0,-12.0,-0.0,0.2570149898529053,610.980359749804,1,264,-551,1183,77,919,628,20,1.81
-8,-2,0,-12.0,-3.0,0.26511597633361816,613.5796606798501,1,276,-548,1183,77,907,625,20,2.92
-10,-3,0,-15.0,-4.5,0.27301907539367676,616.0600620069442,1,291,-543,1183,77,892,620,20,2.96
-9,-5,0,-13.5,-7.5,0.2810368537902832,615.8327695080865,1,305,-535,1183,77,878,612,20,1.6
-10,-6,0,-15.0,-9.0,0.28917884826660156,615.691481181931,1,320,-526,1183,77,863,603,20,0.95
-8,-6,0,-12.0,-9.0,0.29703593254089355,614.4208655311113,1,332,-517,1183,77,851,594,20,8.81
-9,-8,0,-13.5,-12.0,0.3050210475921631,612.1609265544478,1,346,-505,1183,77,837,582,20,14.92
-8,-7,0,-12.0,-10.5,0.31328701972961426,610.0819617067857,1,358,-494,1183,77,825,571,20,13.84
-7,-8,0,-10.5,-12.0,0.3210878372192383,607.0296533119284,1,369,-482,1183,77,814,559,20,19.44
