dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID,past20dxdy
-1,0,-0.6899999976158142,-0.0,4,0.4917876720428467,779.698676711567,782,-110,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,0,-0.0,-0.0,0,0.5570266246795654,779.698676711567,782,-110,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,1,-0.0,0.6899999976158142,0,0.6840736865997314,779.698676711567,782,-110,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,2,-0.0,1.5800000429153442,0,0.6920347213745117,779.8385911058031,782,-111,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,4,-0.0,3.680000066757202,0,0.7001566886901855,780.2657780772238,782,-114,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,3,-0.0,2.6199998259544373,0,0.7080676555633545,780.5567658302597,782,-116,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
0,2,-0.0,1.5800000429153442,0,0.716139554977417,780.7041165948234,782,-117,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
1,2,0.7900000214576721,1.5800000429153442,0,0.7238595485687256,780.8527043640934,782,-118,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
1,2,0.7900000214576721,1.5800000429153442,0,0.7321395874023438,781.0025284409652,782,-119,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
2,3,1.7466665506362915,2.6199998259544373,0,0.7399475574493408,780.3176576541865,781,-121,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
4,2,3.680000066757202,1.840000033378601,0,0.7481427192687988,777.5074602821232,778,-122,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
4,2,3.680000066757202,1.840000033378601,0,0.7560756206512451,774.6999426532412,775,-123,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
6,2,6.670000076293945,2.2233333587646484,0,0.7639615535736084,769.0930624771344,769,-125,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
6,1,6.670000076293945,1.1116666793823242,0,0.7718355655670166,763.3336925286523,763,-126,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
7,1,8.260000467300415,1.1800000667572021,0,0.7798366546630859,755.6069487667938,755,-127,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
11,0,14.649999141693115,-0.0,0,0.7879626750946045,741.80449586312,741,-127,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
14,0,20.269999980926514,-0.0,0,0.7958667278289795,722.0997199835552,721,-127,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
20,0,40.08999824523926,-0.0,0,0.8039646148681641,682.7409328168792,681,-127,1742,430,20,960,540,1,"[(-21, 0), (-16, 0), (-13, -2), (-7, -3), (-2, -2), (0, -1), (0, -2), (4, -8), (6, -10), (8, -10), (7, -10), (6, -8), (7, -9), (7, -9), (7, -8), (6, -7), (5, -5), (4, -3), (1, -1), (0, 0)]"
