dx,dy,rx,ry,button,time,targetX,targetY,targetSize,distance,directionX,directionY
-1,0,-0.5799999833106995,-0.0,0,0.0004971027374267578,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.01245427131652832,961,501,20,39.01281840626232,1,-39
-1,1,-0.5799999833106995,0.5799999833106995,0,0.01907825469970703,961,501,20,39.01281840626232,1,-39
-1,0,-0.5799999833106995,-0.0,0,0.019201278686523438,961,501,20,39.01281840626232,1,-39
-1,0,-0.5799999833106995,-0.0,0,0.019213199615478516,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.01922321319580078,961,501,20,39.01281840626232,1,-39
-1,0,-0.5799999833106995,-0.0,0,0.019231319427490234,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.02269721031188965,961,501,20,39.01281840626232,1,-39
-1,0,-0.5799999833106995,-0.0,0,0.029827117919921875,961,501,20,39.01281840626232,1,-39
-1,0,-0.5799999833106995,-0.0,0,0.08049821853637695,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.24647116661071777,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.2523632049560547,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.2579193115234375,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.25856828689575195,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.2604832649230957,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.2627072334289551,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.26804232597351074,961,501,20,39.01281840626232,1,-39
0,1,-0.0,0.5799999833106995,0,0.27045130729675293,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.3106982707977295,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.31413817405700684,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.3146243095397949,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.31647229194641113,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.32086730003356934,961,501,20,39.01281840626232,1,-39
-1,-1,-0.5799999833106995,-0.5799999833106995,0,0.3208792209625244,961,501,20,39.01281840626232,1,-39
0,-2,-0.0,-1.309999942779541,0,0.32253432273864746,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.32451510429382324,961,501,20,39.01281840626232,1,-39
-1,-1,-0.5799999833106995,-0.5799999833106995,0,0.33216118812561035,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.3382601737976074,961,501,20,39.01281840626232,1,-39
-1,-2,-0.6549999713897705,-1.309999942779541,0,0.3382742404937744,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.33828210830688477,961,501,20,39.01281840626232,1,-39
0,-1,-0.0,-0.5799999833106995,0,0.3382902145385742,961,501,20,39.01281840626232,1,-39
-1,-1,-0.5799999833106995,-0.5799999833106995,0,0.33829832077026367,961,501,20,39.01281840626232,1,-39
-1,-1,-0.5799999833106995,-0.5799999833106995,0,0.33846521377563477,961,501,20,39.01281840626232,1,-39
0,-2,-0.0,-1.309999942779541,0,0.3404872417449951,961,501,20,39.01281840626232,1,-39
