targetID,dx,dy,button,time,targetX,targetY,targetSize,distance,directionX,directionY,rx,ry
1,1,0,0,0.4663412570953369,1460,572,20,427.17273473994237,436,-32,0.6899999976158142,-0.0
1,1,0,0,0.4723191261291504,1460,572,20,427.17273473994237,436,-32,0.6899999976158142,-0.0
1,1,0,0,0.47788119316101074,1460,572,20,427.17273473994237,436,-32,0.6899999976158142,-0.0
1,1,0,0,0.47832727432250977,1460,572,20,427.17273473994237,436,-32,0.6899999976158142,-0.0
1,2,0,0,0.48001813888549805,1460,572,20,426.1754234250252,435,-32,1.5800000429153442,-0.0
1,1,0,0,0.48214125633239746,1460,572,20,426.1754234250252,435,-32,0.6899999976158142,-0.0
1,1,0,0,0.4868183135986328,1460,572,20,426.1754234250252,435,-32,0.6899999976158142,-0.0
1,1,0,0,0.486835241317749,1460,572,20,426.1754234250252,435,-32,0.6899999976158142,-0.0
1,2,0,0,0.488051176071167,1460,572,20,425.1781244502072,434,-32,1.5800000429153442,-0.0
1,1,0,0,0.49079132080078125,1460,572,20,425.1781244502072,434,-32,0.6899999976158142,-0.0
1,2,0,0,0.49704813957214355,1460,572,20,424.18083790052276,433,-32,1.5800000429153442,-0.0
1,1,0,0,0.4974822998046875,1460,572,20,424.18083790052276,433,-32,0.6899999976158142,-0.0
1,2,0,0,0.4974992275238037,1460,572,20,423.1835638617883,432,-32,1.5800000429153442,-0.0
1,3,-1,0,0.4980471134185791,1460,572,20,421.18905366439907,430,-32,2.6199998259544373,-0.8733332753181458
1,2,0,0,0.5003371238708496,1460,572,20,420.1918176813687,429,-32,1.5800000429153442,-0.0
1,2,0,0,0.5051851272583008,1460,572,20,419.19459456055597,428,-32,1.5800000429153442,-0.0
1,2,-1,0,0.5056302547454834,1460,572,20,418.1973843918246,427,-32,1.5800000429153442,-0.7900000214576721
1,3,0,0,0.5060241222381592,1460,572,20,416.20300327426133,425,-32,2.6199998259544373,-0.0
1,2,-1,0,0.508148193359375,1460,572,20,415.20583250938597,424,-32,1.5800000429153442,-0.7900000214576721
1,2,0,0,0.5141053199768066,1460,572,20,414.20867506452527,423,-32,1.5800000429153442,-0.0
1,2,0,0,0.5146512985229492,1460,572,20,413.2115310338318,422,-32,1.5800000429153442,-0.0
1,3,-1,0,0.5146682262420654,1460,572,20,411.2172835960082,420,-32,2.6199998259544373,-0.8733332753181458
1,3,-1,0,0.516066312789917,1460,572,20,409.2230909670888,418,-32,2.6199998259544373,-0.8733332753181458
1,2,0,0,0.5182693004608154,1460,572,20,408.226015450976,417,-32,1.5800000429153442,-0.0
1,3,-1,0,0.5248992443084717,1460,572,20,406.23190651366457,415,-32,2.6199998259544373,-0.8733332753181458
1,3,0,0,0.530846118927002,1460,572,20,404.23785437837523,413,-32,2.6199998259544373,-0.0
1,3,-1,0,0.5312812328338623,1460,572,20,402.2438598693739,411,-32,2.6199998259544373,-0.8733332753181458
1,3,0,0,0.5312972068786621,1460,572,20,400.2499238269277,409,-32,2.6199998259544373,-0.0
1,2,-1,0,0.5313103199005127,1460,572,20,399.2529779977172,408,-32,1.5800000429153442,-0.7900000214576721
1,3,0,0,0.5313212871551514,1460,572,20,397.25913126656843,406,-32,2.6199998259544373,-0.0
1,3,-1,0,0.5320031642913818,1460,572,20,395.2653451752321,404,-32,2.6199998259544373,-0.8733332753181458
1,3,0,0,0.5341482162475586,1460,572,20,393.27162062312294,402,-32,2.6199998259544373,-0.0
1,2,-1,0,0.5362112522125244,1460,572,20,392.2747817102136,401,-32,1.5800000429153442,-0.7900000214576721
1,3,0,0,0.541546106338501,1460,572,20,390.2811511925087,399,-32,2.6199998259544373,-0.0
1,2,0,0,0.5420031547546387,1460,572,20,389.28435982392296,398,-32,1.5800000429153442,-0.0
1,3,0,0,0.5420241355895996,1460,572,20,387.290825466685,396,-32,2.6199998259544373,-0.0
1,2,-1,0,0.5441851615905762,1460,572,20,386.2940827214053,395,-32,1.5800000429153442,-0.7900000214576721
1,3,0,0,0.5490202903747559,1460,572,20,384.30064671516834,393,-32,2.6199998259544373,-0.0
1,2,0,0,0.5490362644195557,1460,572,20,383.30395370501935,392,-32,1.5800000429153442,-0.0
1,3,-1,0,0.5500953197479248,1460,572,20,381.31061830724707,390,-32,2.6199998259544373,-0.8733332753181458
1,2,0,0,0.5520882606506348,1460,572,20,380.31397617815327,389,-32,1.5800000429153442,-0.0
1,2,0,0,0.554166316986084,1460,572,20,379.3173512701431,388,-32,1.5800000429153442,-0.0
1,2,0,0,0.5599441528320312,1460,572,20,378.3207437158103,387,-32,1.5800000429153442,-0.0
1,3,-1,0,0.559962272644043,1460,572,20,376.3275812053807,385,-32,2.6199998259544373,-0.8733332753181458
1,2,0,0,0.5600082874298096,1460,572,20,375.33102652135346,384,-32,1.5800000429153442,-0.0
1,2,0,0,0.5623531341552734,1460,572,20,374.33448973517847,383,-32,1.5800000429153442,-0.0
1,2,-1,0,0.567385196685791,1460,572,20,373.3379709864391,382,-32,1.5800000429153442,-0.7900000214576721
1,2,0,0,0.5674691200256348,1460,572,20,372.3414704161713,381,-32,1.5800000429153442,-0.0
1,2,0,0,0.5683002471923828,1460,572,20,371.34498816688284,380,-32,1.5800000429153442,-0.0
1,2,0,0,0.5703582763671875,1460,572,20,370.34852438257207,379,-32,1.5800000429153442,-0.0
1,1,-1,0,0.5722131729125977,1460,572,20,370.34852438257207,379,-32,0.6899999976158142,-0.6899999976158142
1,2,0,0,0.5769093036651611,1460,572,20,369.35207920874774,378,-32,1.5800000429153442,-0.0
