dx,dy,button,rx,ry,time,distance,targetID,directionX,directionY,targetX,targetY,initMouseX,initMouseY,targetSize,reward
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
0,0,0,0,0,0,565.6368092689867,1,564,-43,1524,557,958,600,20,0
3,0,0,3.0,-0.0,0.20229339599609375,564.63970813254,1,563,-43,1524,557,961,600,20,146.13
3,-1,0,3.0,-1.0,0.21021342277526855,561.5727913636842,1,560,-42,1524,557,964,599,20,21.14
3,0,0,3.0,-0.0,0.21816635131835938,558.581238496246,1,557,-42,1524,557,967,599,20,22.2
4,-1,0,4.0,-1.0,0.22617053985595703,554.5178085508165,1,553,-41,1524,557,971,598,20,26.4
3,0,0,3.0,-0.0,0.23423242568969727,551.5260646605924,1,550,-41,1524,557,974,598,20,22.06
2,-1,0,2.0,-1.0,0.2422325611114502,549.4579146759104,1,548,-40,1524,557,976,597,20,14.89
3,0,0,3.0,-0.0,0.2502315044403076,546.465918424928,1,545,-40,1524,557,979,597,20,21.97
3,0,0,3.0,-0.0,0.2589905261993408,543.4740104181616,1,542,-40,1524,557,982,597,20,21.9
3,0,0,3.0,-0.0,0.2662923336029053,540.4821921210726,1,539,-40,1524,557,985,597,20,21.83
6,0,0,6.0,-0.0,0.27446937561035156,534.4988306816022,1,533,-40,1524,557,991,597,20,35.11
11,0,0,11.0,-0.0,0.2822723388671875,523.5303238590865,1,522,-40,1524,557,1002,597,20,51.01
15,0,0,15.0,-0.0,0.2904515266418457,508.5754614607354,1,507,-40,1524,557,1017,597,20,59.59
19,0,0,19.0,-0.0,0.29830336570739746,489.6365999391794,1,488,-40,1524,557,1036,597,20,65.5
23,1,0,23.0,1.0,0.3063323497772217,466.80402740336336,1,465,-41,1524,557,1059,598,20,68.6
24,2,0,24.0,2.0,0.31418347358703613,443.0914126904289,1,441,-43,1524,557,1083,600,20,66.97
26,1,0,26.0,1.0,0.3223245143890381,417.3260116503643,1,415,-44,1524,557,1109,601,20,66.96
24,1,0,24.0,1.0,0.33026552200317383,393.58099547615353,1,391,-45,1524,557,1133,602,20,62.11
22,1,0,22.0,1.0,0.3383455276489258,371.856154984693,1,369,-46,1524,557,1155,603,20,57.39
21,0,0,21.0,-0.0,0.3462693691253662,351.0270644836378,1,348,-46,1524,557,1176,603,20,54.49
18,0,0,18.0,-0.0,0.3544285297393799,333.19063612292587,1,330,-46,1524,557,1194,603,20,48.83
16,0,0,16.0,-0.0,0.36221933364868164,317.35154009394694,1,314,-46,1524,557,1210,603,20,44.46
14,-1,0,14.0,-1.0,0.37035441398620605,303.35622624235026,1,300,-45,1524,557,1224,602,20,41.23
12,-1,0,12.0,-1.0,0.3783304691314697,291.3417237540823,1,288,-44,1524,557,1236,601,20,37.13
10,-1,0,10.0,-1.0,0.38636255264282227,281.3058833369825,1,278,-43,1524,557,1246,600,20,33.09
9,-2,0,9.0,-2.0,0.3944714069366455,272.10659675943174,1,269,-41,1524,557,1255,598,20,30.55
8,-1,0,8.0,-1.0,0.402402400970459,264.04734423962685,1,261,-40,1524,557,1263,597,20,28.68
6,-2,0,6.0,-2.0,0.4103364944458008,257.8158257361251,1,255,-38,1524,557,1269,595,20,22.14
6,-2,0,6.0,-2.0,0.4183385372161865,251.58895047279003,1,249,-36,1524,557,1275,593,20,21.75
5,-1,0,5.0,-1.0,0.4263334274291992,246.49746449000241,1,244,-35,1524,557,1280,592,20,20.28
5,-2,0,5.0,-2.0,0.4342634677886963,241.26748641290231,1,239,-33,1524,557,1285,590,20,18.47
7,-2,0,7.0,-2.0,0.44223451614379883,234.06195760951843,1,232,-31,1524,557,1292,588,20,23.06
7,-2,0,7.0,-2.0,0.45023536682128906,226.86119103980744,1,225,-29,1524,557,1299,586,20,22.54
7,-2,0,7.0,-2.0,0.45823049545288086,219.66565503054863,1,218,-27,1524,557,1306,584,20,22.03
9,-2,0,9.0,-2.0,0.46618151664733887,210.48990474604713,1,209,-25,1524,557,1315,582,20,25.4
9,-2,0,9.0,-2.0,0.4743044376373291,201.3181561608391,1,200,-23,1524,557,1324,580,20,24.61
11,-1,0,11.0,-1.0,0.48229241371154785,190.2761151589973,1,189,-22,1524,557,1335,579,20,27.98
9,-1,0,9.0,-1.0,0.49036741256713867,181.22085972646747,1,180,-21,1524,557,1344,578,20,25.54
7,0,0,7.0,-0.0,0.49826741218566895,174.26990560621763,1,173,-21,1524,557,1351,578,20,18.89
7,0,0,7.0,-0.0,0.5061905384063721,167.32304085211933,1,166,-21,1524,557,1358,578,20,18.36
7,0,0,7.0,-0.0,0.5141544342041016,160.3807968554839,1,159,-21,1524,557,1365,578,20,17.81
9,0,0,9.0,-0.0,0.5223333835601807,151.46286673637206,1,150,-21,1524,557,1374,578,20,19.77
10,0,0,10.0,-0.0,0.5301663875579834,141.56623891309678,1,140,-21,1524,557,1384,578,20,19.96
13,0,0,13.0,-0.0,0.5381715297698975,128.7245120402482,1,127,-21,1524,557,1397,578,20,21.39
13,0,0,13.0,-0.0,0.5463783740997314,115.91807451816995,1,114,-21,1524,557,1410,578,20,19.76
13,0,0,13.0,-0.0,0.5542933940887451,103.16006979447037,1,101,-21,1524,557,1423,578,20,18.07
13,0,0,13.0,-0.0,0.5623383522033691,90.47098982546837,1,88,-21,1524,557,1436,578,20,16.33
10,0,0,10.0,-0.0,0.5701613426208496,80.77747210701756,1,78,-21,1524,557,1446,578,20,13.02
10,0,0,10.0,-0.0,0.5783305168151855,71.16881339463234,1,68,-21,1524,557,1456,578,20,11.76
9,0,0,9.0,-0.0,0.5862314701080322,62.625873247404705,1,59,-21,1524,557,1465,578,20,9.99
9,0,0,9.0,-0.0,0.5942344665527344,54.230987451824994,1,50,-21,1524,557,1474,578,20,8.83
9,0,0,9.0,-0.0,0.6023454666137695,46.06517122512408,1,41,-21,1524,557,1483,578,20,7.6
8,0,0,8.0,-0.0,0.6102085113525391,39.11521443121589,1,33,-21,1524,557,1491,578,20,5.99
8,0,0,8.0,-0.0,0.6183145046234131,32.64965543462902,1,25,-21,1524,557,1499,578,20,4.79
