dx,rx
-1,-0.6899999976158142
-1,-0.6899999976158142
-1,-0.7900000214576721
-1,-0.7900000214576721
-1,-0.6899999976158142
-1,-0.6899999976158142
0,-0.0
-1,-0.6899999976158142
0,-0.0
0,-0.0
-1,-0.6899999976158142
0,-0.0
-1,-0.7900000214576721
-1,-0.8733332753181458
-1,-0.8733332753181458
-2,-2.0239999294281006
-2,-2.2233333587646484
-3,-3.6974998712539673
-2,-2.4649999141693115
-4,-5.0933332443237305
-3,-3.819999933242798
-2,-2.4649999141693115
-1,-1.2733333110809326
-2,-2.3600001335144043
-2,-2.4649999141693115
-3,-3.819999933242798
-2,-2.5466666221618652
-3,-3.819999933242798
-3,-3.819999933242798
-3,-3.6974998712539673
-4,-4.929999828338623
-3,-3.5400002002716064
-3,-3.5400002002716064
-3,-3.3350000381469727
-3,-3.5400002002716064
-2,-2.0239999294281006
-1,-1.0119999647140503
-1,-0.9200000166893005
-1,-1.0119999647140503
-1,-0.9200000166893005
-1,-0.8733332753181458
-1,-0.9200000166893005
0,-0.0
-1,-0.9200000166893005
-1,-1.0119999647140503
-1,-1.0119999647140503
-1,-1.1116666793823242
-1,-1.1116666793823242
-1,-1.1116666793823242
-1,-1.1116666793823242
-2,-2.0239999294281006
-2,-1.840000033378601
-1,-0.9200000166893005
-2,-1.840000033378601
-2,-1.7466665506362915
-3,-2.7600000500679016
-3,-2.7600000500679016
-2,-1.5800000429153442
-2,-1.5800000429153442
-2,-1.5800000429153442
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
0,-0.0
-1,-0.8733332753181458
-1,-0.7900000214576721
-1,-0.8733332753181458
-1,-0.9200000166893005
-1,-0.9200000166893005
0,-0.0
-1,-0.8733332753181458
0,-0.0
-1,-0.8733332753181458
-1,-0.9200000166893005
-1,-0.8733332753181458
-1,-0.9200000166893005
-2,-1.840000033378601
-1,-0.9200000166893005
-1,-0.8733332753181458
-1,-0.7900000214576721
-1,-0.6899999976158142
-1,-0.7900000214576721
-1,-0.6899999976158142
0,-0.0
