dx,dy,rx,ry,button,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,-0.0,-0.0,0,0.6238265037536621,314.85227411855993,-205,-252,755,288,20,960,540,1
1,0,0.6899999976158142,-0.0,0,0.6416094303131104,314.85227411855993,-205,-252,755,288,20,960,540,1
2,0,1.5800000429153442,-0.0,0,0.7458195686340332,315.48425461149424,-206,-252,755,288,20,960,540,1
0,1,-0.0,0.6899999976158142,0,0.7536675930023193,315.48425461149424,-206,-252,755,288,20,960,540,1
1,0,0.6899999976158142,-0.0,0,0.7616574764251709,315.48425461149424,-206,-252,755,288,20,960,540,1
-1,0,-0.6899999976158142,-0.0,0,0.8177285194396973,315.48425461149424,-206,-252,755,288,20,960,540,1
-1,-2,-0.7900000214576721,-1.5800000429153442,0,0.826263427734375,314.71064041697184,-206,-251,755,288,20,960,540,1
-2,-3,-1.7466665506362915,-2.6199998259544373,0,0.833871603012085,312.53061870154283,-205,-249,755,288,20,960,540,1
-3,-2,-2.6199998259544373,-1.7466665506362915,0,0.8418805599212646,310.4886893480018,-203,-248,755,288,20,960,540,1
-4,-5,-4.446666717529297,-5.558333396911621,0,0.8500204086303711,304.0859754907882,-199,-243,755,288,20,960,540,1
-6,-6,-7.394999742507935,-7.394999742507935,0,0.857703447341919,294.2367499169027,-192,-236,755,288,20,960,540,1
-8,-8,-10.654544830322266,-10.654544830322266,0,0.8656144142150879,280.17236257093816,-182,-226,755,288,20,960,540,1
-8,-9,-10.833333015441895,-12.187499642372131,0,0.873854398727417,264.5541840875859,-172,-214,755,288,20,960,540,1
-9,-9,-12.187499642372131,-12.187499642372131,0,0.8818526268005371,247.68973592287296,-160,-202,755,288,20,960,540,1
-9,-9,-12.187499642372131,-12.187499642372131,0,0.8896844387054443,230.84019598065436,-148,-190,755,288,20,960,540,1
-7,-9,-9.322726726531982,-11.986362934112549,0,0.8977046012878418,216.63186007267382,-139,-179,755,288,20,960,540,1
-7,-9,-9.322726726531982,-11.986362934112549,0,0.905585527420044,202.4241040936739,-130,-168,755,288,20,960,540,1
-6,-8,-7.835999965667725,-10.447999954223633,0,0.9136524200439453,190.23236501624805,-123,-158,755,288,20,960,540,1
-5,-8,-6.366666555404663,-10.186666488647461,0,0.9216964244842529,178.66107176627614,-117,-148,755,288,20,960,540,1
-5,-7,-6.162499785423279,-8.62749969959259,0,0.9296605587005615,168.6644900364927,-111,-140,755,288,20,960,540,1
-4,-7,-4.929999828338623,-8.62749969959259,0,0.9380865097045898,159.92056967889437,-107,-132,755,288,20,960,540,1
-4,-7,-4.929999828338623,-8.62749969959259,0,0.9458074569702148,151.19863522995473,-103,-124,755,288,20,960,540,1
-4,-6,-4.720000267028809,-7.080000400543213,0,0.9536075592041016,143.26447729333762,-99,-117,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,0.9615645408630371,137.5127113166862,-96,-112,755,288,20,960,540,1
-4,-6,-4.720000267028809,-7.080000400543213,0,0.9695384502410889,129.6030085635693,-92,-105,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,0.9778034687042236,123.86933928274988,-89,-100,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,0.9857776165008545,118.14444974324874,-86,-95,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,0.9937953948974609,112.42957159118053,-83,-90,755,288,20,960,540,1
-3,-4,-3.035999894142151,-4.047999858856201,0,1.0017924308776855,107.45637488020819,-80,-86,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,1.0098414421081543,101.75866856758807,-77,-81,755,288,20,960,540,1
-2,-4,-1.840000033378601,-3.680000066757202,0,1.0177724361419678,98.90362712049586,-76,-78,755,288,20,960,540,1
-2,-3,-1.7466665506362915,-2.6199998259544373,0,1.0259075164794922,96.77546534667971,-75,-76,755,288,20,960,540,1
-3,-3,-2.7600000500679016,-2.7600000500679016,0,1.03369140625,93.9471019317037,-73,-74,755,288,20,960,540,1
-4,-4,-4.047999858856201,-4.047999858856201,0,1.041879415512085,88.29038610159185,-69,-70,755,288,20,960,540,1
-3,-4,-3.035999894142151,-4.047999858856201,0,1.0497875213623047,83.33809511662427,-66,-66,755,288,20,960,540,1
-4,-5,-4.446666717529297,-5.558333396911621,0,1.0581145286560059,76.97700845625813,-62,-61,755,288,20,960,540,1
-4,-4,-4.047999858856201,-4.047999858856201,0,1.0656204223632812,71.32035415564789,-58,-57,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,1.0738224983215332,65.69015788066504,-55,-52,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,1.081810474395752,60.092795635500224,-52,-47,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,1.0896735191345215,54.53681120105021,-49,-42,755,288,20,960,540,1
-3,-6,-3.3350000381469727,-6.670000076293945,0,1.0977914333343506,48.412327466040935,-46,-36,755,288,20,960,540,1
-3,-6,-3.3350000381469727,-6.670000076293945,0,1.105722427368164,42.43090691567332,-43,-30,755,288,20,960,540,1
-4,-7,-4.929999828338623,-8.62749969959259,0,1.1138296127319336,34.77722635447622,-39,-22,755,288,20,960,540,1
-3,-5,-3.035999894142151,-5.0599998235702515,0,1.1217265129089355,29.812058474788763,-36,-17,755,288,20,960,540,1
-4,-6,-4.720000267028809,-7.080000400543213,0,1.1298744678497314,23.526109228480422,-32,-10,755,288,20,960,540,1
-4,-4,-4.047999858856201,-4.047999858856201,0,1.1379425525665283,18.635642126552707,-28,-6,755,288,20,960,540,1
-4,-5,-4.446666717529297,-5.558333396911621,0,1.145857572555542,14.020824298928627,-24,-1,755,288,20,960,540,1
-4,-5,-4.446666717529297,-5.558333396911621,0,1.1535885334014893,10.396078054371138,-20,4,755,288,20,960,540,1
-4,-3,-4.047999858856201,-3.035999894142151,0,1.1618006229400635,7.464249196572979,-16,7,755,288,20,960,540,1
-3,-3,-2.7600000500679016,-2.7600000500679016,0,1.1696124076843262,6.643316977093239,-14,9,755,288,20,960,540,1
-2,-3,-1.7466665506362915,-2.6199998259544373,0,1.177565574645996,7.029386365926403,-13,11,755,288,20,960,540,1
-3,-2,-2.6199998259544373,-1.7466665506362915,0,1.1857364177703857,6.278820596099706,-11,12,755,288,20,960,540,1
-2,-2,-1.5800000429153442,-1.5800000429153442,0,1.1936674118041992,6.401219466856727,-10,13,755,288,20,960,540,1
-3,-2,-2.6199998259544373,-1.7466665506362915,0,1.2017645835876465,6.124515496597098,-8,14,755,288,20,960,540,1
-2,-1,-1.5800000429153442,-0.7900000214576721,0,1.2096514701843262,5.652475842498529,-7,14,755,288,20,960,540,1
-3,-1,-2.6199998259544373,-0.8733332753181458,0,1.2177584171295166,4.866068747318506,-5,14,755,288,20,960,540,1
-3,-1,-2.6199998259544373,-0.8733332753181458,0,1.225806474685669,4.317821063276353,-3,14,755,288,20,960,540,1
-2,0,-1.5800000429153442,-0.0,0,1.2338345050811768,4.142135623730951,-2,14,755,288,20,960,540,1
-3,-1,-2.6199998259544373,-0.8733332753181458,0,1.2415804862976074,4.0,0,14,755,288,20,960,540,1
