dx,dy,rx,ry,button,time
-7,9,-12.434546113014221,15.987273573875427,0,0.5652506351470947
-6,8,-10.44599962234497,13.927999496459961,0,0.5754435062408447
-5,7,-8.212500214576721,11.49750030040741,0,0.5816357135772705
-5,8,-8.48888874053955,13.582221984863281,0,0.5898566246032715
-7,7,-11.884444236755371,11.884444236755371,0,0.5972146987915039
-7,8,-12.186999559402466,13.927999496459961,0,0.6053445339202881
-6,8,-10.44599962234497,13.927999496459961,0,0.6134335994720459
-7,8,-12.186999559402466,13.927999496459961,0,0.621457576751709
-7,7,-11.884444236755371,11.884444236755371,0,0.6292426586151123
-6,8,-10.44599962234497,13.927999496459961,0,0.637305498123169
-7,8,-12.186999559402466,13.927999496459961,0,0.6452276706695557
-4,7,-6.570000171661377,11.49750030040741,0,0.653235673904419
-5,6,-7.871428728103638,9.445714473724365,0,0.6612265110015869
-3,6,-4.445000052452087,8.890000104904175,0,0.6692795753479004
-2,6,-2.9633333683013916,8.890000104904175,0,0.6772365570068359
-2,5,-2.7039999961853027,6.759999990463257,0,0.6854896545410156
-3,4,-4.055999994277954,5.4079999923706055,0,0.6932415962219238
-1,4,-1.225000023841858,4.900000095367432,0,0.7013156414031982
-1,4,-1.225000023841858,4.900000095367432,0,0.7092676162719727
-2,4,-2.450000047683716,4.900000095367432,0,0.7175085544586182
-1,4,-1.225000023841858,4.900000095367432,0,0.7253155708312988
-1,5,-1.3519999980926514,6.759999990463257,0,0.733318567276001
-2,6,-2.9633333683013916,8.890000104904175,0,0.7412676811218262
-3,6,-4.445000052452087,8.890000104904175,0,0.7492475509643555
-2,4,-2.450000047683716,4.900000095367432,0,0.7572486400604248
-2,4,-2.450000047683716,4.900000095367432,0,0.7652497291564941
-2,3,-2.3333332538604736,3.4999998807907104,0,0.7732906341552734
-2,3,-2.3333332538604736,3.4999998807907104,0,0.7812116146087646
-2,3,-2.3333332538604736,3.4999998807907104,0,0.7953546047210693
-1,4,-1.225000023841858,4.900000095367432,0,0.7972676753997803
-3,3,-3.6750000715255737,3.6750000715255737,0,0.8054547309875488
-2,4,-2.450000047683716,4.900000095367432,0,0.8132355213165283
-3,4,-4.055999994277954,5.4079999923706055,0,0.8212845325469971
-3,3,-3.6750000715255737,3.6750000715255737,0,0.8292195796966553
-4,4,-5.4079999923706055,5.4079999923706055,0,0.8374416828155518
-4,4,-5.4079999923706055,5.4079999923706055,0,0.845240592956543
-4,4,-5.4079999923706055,5.4079999923706055,0,0.8533246517181396
-4,4,-5.4079999923706055,5.4079999923706055,0,0.861668586730957
-3,3,-3.6750000715255737,3.6750000715255737,0,0.8692417144775391
-2,2,-2.0899999141693115,2.0899999141693115,0,0.877267599105835
-2,2,-2.0899999141693115,2.0899999141693115,0,0.8881895542144775
-1,1,-0.9300000071525574,0.9300000071525574,0,0.8933935165405273
-2,2,-2.0899999141693115,2.0899999141693115,0,0.9019255638122559
-1,2,-1.0449999570846558,2.0899999141693115,0,0.9093225002288818
-1,2,-1.0449999570846558,2.0899999141693115,0,0.9174485206604004
-1,1,-0.9300000071525574,0.9300000071525574,0,0.9252686500549316
-1,2,-1.0449999570846558,2.0899999141693115,0,0.9333736896514893
-1,2,-1.0449999570846558,2.0899999141693115,0,0.941260576248169
0,2,-0.0,2.0899999141693115,0,0.9516165256500244
-1,2,-1.0449999570846558,2.0899999141693115,0,0.9572556018829346
-1,3,-1.1666666269302368,3.4999998807907104,0,0.9652566909790039
-1,1,-0.9300000071525574,0.9300000071525574,0,0.9732346534729004
-1,3,-1.1666666269302368,3.4999998807907104,0,0.981440544128418
-1,2,-1.0449999570846558,2.0899999141693115,0,0.9892706871032715
-1,1,-0.9300000071525574,0.9300000071525574,0,0.997307538986206
-1,2,-1.0449999570846558,2.0899999141693115,0,1.0054216384887695
-1,2,-1.0449999570846558,2.0899999141693115,0,1.0210466384887695
-1,2,-1.0449999570846558,2.0899999141693115,0,1.0276646614074707
-1,2,-1.0449999570846558,2.0899999141693115,0,1.033240556716919
-1,2,-1.0449999570846558,2.0899999141693115,0,1.0376076698303223
-1,2,-1.0449999570846558,2.0899999141693115,0,1.0565166473388672
0,1,-0.0,0.9300000071525574,0,1.062962532043457
0,2,-0.0,2.0899999141693115,0,1.0703835487365723
-1,1,-0.9300000071525574,0.9300000071525574,0,1.076981544494629
-1,1,-0.9300000071525574,0.9300000071525574,0,1.0832436084747314
0,1,-0.0,0.9300000071525574,0,1.0855755805969238
-1,1,-0.9300000071525574,0.9300000071525574,0,1.093456506729126
-1,1,-0.9300000071525574,0.9300000071525574,0,1.103306531906128
-1,2,-1.0449999570846558,2.0899999141693115,0,1.109708547592163
-1,2,-1.0449999570846558,2.0899999141693115,0,1.1174595355987549
-1,1,-0.9300000071525574,0.9300000071525574,0,1.1252875328063965
-1,2,-1.0449999570846558,2.0899999141693115,0,1.137385606765747
-1,1,-0.9300000071525574,0.9300000071525574,0,1.1436316967010498
0,1,-0.0,0.9300000071525574,0,1.1508736610412598
-1,1,-0.9300000071525574,0.9300000071525574,0,1.1580376625061035
-1,2,-1.0449999570846558,2.0899999141693115,0,1.1701207160949707
-2,3,-2.3333332538604736,3.4999998807907104,0,1.1771726608276367
-1,2,-1.0449999570846558,2.0899999141693115,0,1.186267614364624
-1,2,-1.0449999570846558,2.0899999141693115,0,1.1938257217407227
-2,3,-2.3333332538604736,3.4999998807907104,0,1.2023446559906006
-1,2,-1.0449999570846558,2.0899999141693115,0,1.2056465148925781
-1,2,-1.0449999570846558,2.0899999141693115,0,1.2241907119750977
-2,1,-2.0899999141693115,1.0449999570846558,0,1.2296767234802246
-1,2,-1.0449999570846558,2.0899999141693115,0,1.2378857135772705
-2,1,-2.0899999141693115,1.0449999570846558,0,1.2435505390167236
-2,1,-2.0899999141693115,1.0449999570846558,0,1.2518515586853027
-1,2,-1.0449999570846558,2.0899999141693115,0,1.2535016536712646
-2,1,-2.0899999141693115,1.0449999570846558,0,1.2613236904144287
-2,2,-2.0899999141693115,2.0899999141693115,0,1.2693886756896973
-1,1,-0.9300000071525574,0.9300000071525574,0,1.289522647857666
-2,2,-2.0899999141693115,2.0899999141693115,0,1.2896366119384766
-1,0,-0.9300000071525574,-0.0,0,1.2932956218719482
0,1,-0.0,0.9300000071525574,0,1.3036446571350098
-1,0,-0.9300000071525574,-0.0,0,1.30953049659729
-1,0,-0.9300000071525574,-0.0,0,1.3174495697021484
-1,0,-0.9300000071525574,-0.0,0,1.3253066539764404
-1,0,-0.9300000071525574,-0.0,0,1.3363616466522217
-1,0,-0.9300000071525574,-0.0,0,1.3413565158843994
-1,0,-0.9300000071525574,-0.0,0,1.3575315475463867
-1,0,-0.9300000071525574,-0.0,0,1.3974475860595703
,,,,,
3,0,3.4999998807907104,-0.0,0,1.2506980895996094
2,-1,2.0899999141693115,-1.0449999570846558,0,1.2572641372680664
2,-1,2.0899999141693115,-1.0449999570846558,0,1.2656891345977783
2,-1,2.0899999141693115,-1.0449999570846558,0,1.2733101844787598
1,0,0.9300000071525574,-0.0,0,1.2811939716339111
