dx,dy,button,rx,ry,time,distance,directionX,directionY,targetX,targetY,targetSize,initMouseX,initMouseY,targetID
0,0,0,-0.0,-0.0,0.37052392959594727,354.4077386664559,248,267,1208,867,20,960,600,1
1,-1,0,0.6899999976158142,-0.6899999976158142,0.5306167602539062,354.4077386664559,248,267,1208,867,20,960,600,1
1,0,0,0.6899999976158142,-0.0,0.5385568141937256,354.4077386664559,248,267,1208,867,20,960,600,1
2,0,0,1.5800000429153442,-0.0,0.5466868877410889,353.72792029207767,247,267,1208,867,20,960,600,1
4,0,0,3.680000066757202,-0.0,0.5544288158416748,351.69738732813653,244,267,1208,867,20,960,600,1
4,2,0,3.680000066757202,1.840000033378601,0.5625767707824707,348.93871343169434,241,266,1208,867,20,960,600,1
4,3,0,4.047999858856201,3.035999894142151,0.5704238414764404,344.0310720826634,237,263,1208,867,20,960,600,1
6,5,0,7.080000400543213,5.900000333786011,0.5785717964172363,335.6356463098099,230,258,1208,867,20,960,600,1
8,6,0,10.447999954223633,7.835999965667725,0.5871407985687256,323.76788341600513,220,251,1208,867,20,960,600,1
9,8,0,12.187499642372131,10.833333015441895,0.5944697856903076,308.34729463276426,208,241,1208,867,20,960,600,1
8,9,0,10.833333015441895,12.187499642372131,0.602421760559082,292.72925197278175,198,229,1208,867,20,960,600,1
8,12,0,11.582857131958008,17.37428569793701,0.6103947162628174,272.6888749137468,187,212,1208,867,20,960,600,1
7,12,0,9.611538410186768,16.4769229888916,0.6184108257293701,254.76404589747455,178,196,1208,867,20,960,600,1
8,14,0,13.4399995803833,23.519999265670776,0.6265838146209717,229.06902768865731,165,173,1208,867,20,960,600,1
7,13,0,10.134999990463257,18.822142839431763,0.6343748569488525,209.20310216782974,155,155,1208,867,20,960,600,1
9,12,0,14.15399980545044,18.871999740600586,0.6424417495727539,186.596032513375,141,137,1208,867,20,960,600,1
9,11,0,13.030714273452759,15.92642855644226,0.6514308452606201,166.82759965570986,128,122,1208,867,20,960,600,1
8,10,0,10.833333015441895,13.541666269302368,0.6587069034576416,150.63934760823702,118,109,1208,867,20,960,600,1
7,7,0,8.913333177566528,8.913333177566528,0.6665008068084717,139.33519344079613,110,101,1208,867,20,960,600,1
7,8,0,9.141999959945679,10.447999954223633,0.6746518611907959,125.94851966829208,101,91,1208,867,20,960,600,1
6,6,0,7.394999742507935,7.394999742507935,0.6825287342071533,116.0634760745554,94,84,1208,867,20,960,600,1
7,6,0,8.913333177566528,7.639999866485596,0.6905577182769775,105.43396380615195,86,77,1208,867,20,960,600,1
5,5,0,5.900000333786011,5.900000333786011,0.698530912399292,98.37435120913067,81,72,1208,867,20,960,600,1
6,5,0,7.080000400543213,5.900000333786011,0.70648193359375,89.82484660644363,74,67,1208,867,20,960,600,1
6,6,0,7.394999742507935,7.394999742507935,0.7145228385925293,79.9388681271896,67,60,1208,867,20,960,600,1
4,4,0,4.047999858856201,4.047999858856201,0.7225258350372314,74.29116205154607,63,56,1208,867,20,960,600,1
5,5,0,5.900000333786011,5.900000333786011,0.7307357788085938,67.23341245859851,58,51,1208,867,20,960,600,1
4,3,0,4.047999858856201,3.035999894142151,0.7394359111785889,62.24956747275377,54,48,1208,867,20,960,600,1
4,3,0,4.047999858856201,3.035999894142151,0.7467567920684814,57.268120235368556,50,45,1208,867,20,960,600,1
5,4,0,5.558333396911621,4.446666717529297,0.7548377513885498,50.876925020897694,45,41,1208,867,20,960,600,1
2,2,0,1.5800000429153442,1.5800000429153442,0.7625517845153809,49.464274989274024,44,40,1208,867,20,960,600,1
2,2,0,1.5800000429153442,1.5800000429153442,0.7704489231109619,48.05170109479997,43,39,1208,867,20,960,600,1
2,2,0,1.5800000429153442,1.5800000429153442,0.7785587310791016,46.639209034025185,42,38,1208,867,20,960,600,1
2,2,0,1.5800000429153442,1.5800000429153442,0.7863938808441162,45.226805085936306,41,37,1208,867,20,960,600,1
2,2,0,1.5800000429153442,1.5800000429153442,0.7943558692932129,43.81449618829484,40,36,1208,867,20,960,600,1
2,4,0,1.840000033378601,3.680000066757202,0.80228590965271,41.088159097779204,39,33,1208,867,20,960,600,1
3,3,0,2.7600000500679016,2.7600000500679016,0.8103978633880615,38.27007354458868,37,31,1208,867,20,960,600,1
3,4,0,3.035999894142151,4.047999858856201,0.818422794342041,33.41658669218482,34,27,1208,867,20,960,600,1
4,2,0,3.680000066757202,1.840000033378601,0.8264899253845215,30.45985664828782,31,26,1208,867,20,960,600,1
